28,8,4,20,14,10,29,22,30,1,27,18,3,17,0,16,21,31,24,7,9,2,11,23,19,13,6,12,15,5,25,26
10,29,28,17,4,20,22,18,0,9,26,31,27,6,30,21,19,15,11,14,1,16,5,8,24,12,23,25,2,32,7,13
22,0,2,12,13,28,31,23,10,26,11,7,5,25,6,29,8,19,32,14,27,30,20,24,16,4,15,21,1,9,17,18
3,30,14,1,16,9,34,8,21,11,12,2,7,29,20,13,5,25,10,23,26,15,4,24,33,0,6,19,22,31,18,17
10,29,0,27,33,30,22,2,17,24,26,21,13,18,15,28,8,5,31,20,1,34,9,14,11,4,25,32,19,23,35,3
9,14,22,6,34,35,24,27,17,5,15,25,10,18,28,29,11,32,31,2,33,20,13,21,4,36,23,26,12,19,7,3
17,29,12,27,9,4,18,14,34,20,8,1,11,15,28,33,36,35,7,21,24,3,23,16,37,32,2,30,5,0,13,6
36,34,8,30,0,5,14,32,4,15,12,27,26,38,20,6,23,11,9,35,29,18,31,7,28,19,33,17,25,13,1,22
35,0,13,11,3,30,25,22,24,23,36,10,32,12,2,34,38,27,15,18,31,28,8,33,17,7,5,6,1,39,29,4
21,5,37,29,22,1,31,17,28,27,2,12,8,18,4,35,11,30,26,0,39,6,23,7,34,10,36,16,15,25,40,9
30,12,33,18,16,15,20,25,7,41,8,27,11,36,0,31,40,23,22,6,9,39,32,34,4,10,24,17,21,14,26,2
39,29,25,20,11,13,5,6,18,33,37,3,17,34,40,35,36,28,30,32,24,22,12,14,42,41,0,16,10,7,23,4
