0,1,2,3,4,5,6,7
1,2,3,4,5,6,7,8
1,3,4,5,6,7,8,9
2,4,5,6,7,8,9,10
0,2,4,5,8,9,10,11
4,6,7,8,9,10,11,12
3,5,6,7,9,10,11,13
5,6,7,9,10,11,12,13
2,4,5,6,10,12,13,15
2,7,8,9,10,12,13,16
5,6,8,11,12,13,16,17
7,9,11,12,13,14,16,18
3,5,8,10,12,14,18,19
6,7,10,12,14,16,17,18
7,8,13,14,15,16,17,19
3,10,11,13,15,17,21,22
9,10,12,15,18,19,20,23
1,12,13,16,18,20,21,22
6,8,9,17,22,23,24,25
7,8,16,20,21,22,24,26
8,18,19,22,23,25,26,27
4,12,21,22,24,26,27,28
2,6,8,16,19,24,28,29
9,13,17,20,22,23,25,27
14,18,20,22,25,28,29,31
2,12,15,16,17,25,26,30
10,13,20,21,27,28,30,31
32,17,18,19,21,23,25,29
34,35,7,9,15,18,25,26
34,36,8,15,23,26,29,31
34,16,17,19,21,22,23,24
32,33,35,4,37,17,28,30
32,35,36,38,27,28,29,31
5,37,11,12,13,21,23,26
34,37,38,40,10,20,23,27
34,37,39,41,22,25,28,30
32,34,5,39,43,23,25,28
34,41,42,44,15,17,21,28
33,35,37,40,44,18,20,31
37,8,13,14,20,21,25,30
32,35,8,41,19,20,26,31
32,38,40,45,16,19,28,29
33,42,14,46,47,49,25,26
32,33,35,10,12,46,19,26
32,34,37,40,8,44,50,19
3,37,9,43,46,47,25,31
34,8,46,47,15,49,50,20
42,44,45,46,51,52,22,29
33,49,18,51,52,50,54,29
4,39,42,48,51,52,56,25
38,44,12,46,22,25,26,30
33,13,48,19,20,54,25,30
34,39,44,54,55,58,59,28
11,48,50,22,26,59,60,29
45,49,50,53,24,26,61,30
32,33,38,43,46,14,51,22
34,46,52,26,27,60,61,30
3,41,42,44,57,60,62,31
36,40,45,47,56,57,59,62
64,34,37,6,42,17,58,63
66,42,43,56,57,58,27,25
64,66,67,43,15,47,23,25
32,33,34,68,43,16,56,59
64,2,68,39,46,49,55,60
69,70,39,11,13,48,56,63
66,41,50,53,24,29,62,63
64,68,38,72,22,55,57,59
64,32,70,71,6,72,43,63
38,72,75,43,52,23,60,61
64,65,71,10,44,12,76,61
