0,1,2,3,4,5,6,7
1,2,3,4,5,6,7,8
1,3,4,5,6,7,8,9
2,3,4,5,7,8,9,10
3,4,5,6,7,9,10,11
1,3,6,8,9,10,11,12
3,4,6,9,10,11,12,13
1,6,9,10,11,12,13,14
6,8,10,11,12,13,14,15
4,8,9,10,13,14,15,16
7,8,9,10,12,13,15,16
1,2,3,10,12,14,15,17
6,10,12,13,14,15,16,19
10,11,12,14,16,17,19,20
6,10,12,14,15,16,18,19
9,10,13,16,17,18,19,22
7,10,11,15,18,20,21,23
2,4,10,15,16,17,19,22
5,13,14,19,21,22,23,24
9,10,12,13,18,19,22,23
9,10,13,16,20,22,24,27
6,11,18,19,20,24,25,28
8,10,11,15,19,22,23,29
9,20,21,26,27,28,29,30
16,19,21,23,25,27,28,29
32,12,13,16,18,21,27,31
15,17,21,22,25,26,29,30
32,33,34,19,22,26,28,31
15,19,23,25,27,29,30,31
32,33,8,16,22,24,27,31
34,3,36,37,12,25,26,30
32,35,36,37,13,16,17,23
3,38,18,19,21,24,27,29
34,36,40,16,21,24,25,26
36,38,40,12,15,21,23,27
39,40,42,21,22,25,28,30
34,35,42,43,16,19,24,28
38,43,44,16,18,20,29,30
32,4,6,39,43,13,15,19
32,35,42,43,15,22,27,31
32,35,40,42,11,12,47,27
32,40,12,19,23,24,25,30
37,39,46,47,49,21,25,29
33,41,12,45,44,49,25,29
6,39,41,11,49,50,18,23
35,37,38,41,48,49,52,26
35,40,44,13,46,49,51,53
35,41,45,46,48,50,23,30
36,41,42,43,47,22,54,24
32,33,5,42,47,53,56,30
36,38,43,44,47,50,20,25
35,43,46,48,49,23,56,57
37,38,42,48,19,55,58,59
37,9,12,45,51,54,55,60
38,50,52,54,22,58,29,30
39,47,49,19,51,21,54,25
43,44,13,58,59,61,30,63
64,40,44,46,16,50,51,60
38,46,50,55,57,58,59,30
33,66,42,45,15,17,61,63
64,35,4,45,16,50,24,28
37,11,45,46,49,55,56,28
66,67,69,45,53,27,29,63
66,67,35,37,70,38,59,28
65,67,68,70,7,48,58,59
32,64,67,43,48,23,60,63
68,69,41,42,56,57,59,28
66,70,12,51,54,25,26,61
36,73,74,51,52,26,59,63
37,40,15,47,49,25,61,57
