PathFileType	4	(X/Y/Z)	D:\MAC3D_Data\Watanabe Lab\Sasazaki_1109\1_suihei1.trc
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames
200.00	200.00	      1725	0	mm	200.00	1	      1725
Frame#	Time	
		

1	0.000	
2	0.005	
3	0.010	
4	0.015	
5	0.020	
6	0.025	
7	0.030	
8	0.035	
9	0.040	
10	0.045	
11	0.050	
12	0.055	
13	0.060	
14	0.065	
15	0.070	
16	0.075	
17	0.080	
18	0.085	
19	0.090	
20	0.095	
21	0.100	
22	0.105	
23	0.110	
24	0.115	
25	0.120	
26	0.125	
27	0.130	
28	0.135	
29	0.140	
30	0.145	
31	0.150	
32	0.155	
33	0.160	
34	0.165	
35	0.170	
36	0.175	
37	0.180	
38	0.185	
39	0.190	
40	0.195	
41	0.200	
42	0.205	
43	0.210	
44	0.215	
45	0.220	
46	0.225	
47	0.230	
48	0.235	
49	0.240	
50	0.245	
51	0.250	
52	0.255	
53	0.260	
54	0.265	
55	0.270	
56	0.275	
57	0.280	
58	0.285	
59	0.290	
60	0.295	
61	0.300	
62	0.305	
63	0.310	
64	0.315	
65	0.320	
66	0.325	
67	0.330	
68	0.335	
69	0.340	
70	0.345	
71	0.350	
72	0.355	
73	0.360	
74	0.365	
75	0.370	
76	0.375	
77	0.380	
78	0.385	
79	0.390	
80	0.395	
81	0.400	
82	0.405	
83	0.410	
84	0.415	
85	0.420	
86	0.425	
87	0.430	
88	0.435	
89	0.440	
90	0.445	
91	0.450	
92	0.455	
93	0.460	
94	0.465	
95	0.470	
96	0.475	
97	0.480	
98	0.485	
99	0.490	
100	0.495	
101	0.500	
102	0.505	
103	0.510	
104	0.515	
105	0.520	
106	0.525	
107	0.530	
108	0.535	
109	0.540	
110	0.545	
111	0.550	
112	0.555	
113	0.560	
114	0.565	
115	0.570	
116	0.575	
117	0.580	
118	0.585	
119	0.590	
120	0.595	
121	0.600	
122	0.605	
123	0.610	
124	0.615	
125	0.620	
126	0.625	
127	0.630	
128	0.635	
129	0.640	
130	0.645	
131	0.650	
132	0.655	
133	0.660	
134	0.665	
135	0.670	
136	0.675	
137	0.680	
138	0.685	
139	0.690	
140	0.695	
141	0.700	
142	0.705	
143	0.710	
144	0.715	
145	0.720	
146	0.725	
147	0.730	
148	0.735	
149	0.740	
150	0.745	
151	0.750	
152	0.755	
153	0.760	
154	0.765	
155	0.770	
156	0.775	
157	0.780	
158	0.785	
159	0.790	
160	0.795	
161	0.800	
162	0.805	
163	0.810	
164	0.815	
165	0.820	
166	0.825	
167	0.830	
168	0.835	
169	0.840	
170	0.845	
171	0.850	
172	0.855	
173	0.860	
174	0.865	
175	0.870	
176	0.875	
177	0.880	
178	0.885	
179	0.890	
180	0.895	
181	0.900	
182	0.905	
183	0.910	
184	0.915	
185	0.920	
186	0.925	
187	0.930	
188	0.935	
189	0.940	
190	0.945	
191	0.950	
192	0.955	
193	0.960	
194	0.965	
195	0.970	
196	0.975	
197	0.980	
198	0.985	
199	0.990	
200	0.995	
201	1.000	
202	1.005	
203	1.010	
204	1.015	
205	1.020	
206	1.025	
207	1.030	
208	1.035	
