CFSLGR_DataFile,,,,,,,,,
ÉfÅ[É^ï€ë∂[å¬/ïb],1200,,Filter,OFF,,,,,
íËäi,100,100,,2,2,2,,,0.276826389
åoâﬂéûä‘[sec],Fx[N],Fy[N],Fz[N],Mx[Nm],My[Nm],Mz[Nm],,,
1.7017,-0.23,-0.21,0.29,0.086,-0.045,0.001,,,
1.7025,-0.14,-0.12,0.33,0.074,-0.043,0,,,
1.7033,-0.15,-0.13,0.38,0.07,-0.041,0.002,,,
1.7042,-0.13,-0.11,0.44,0.06,-0.036,0.001,,,
1.705,-0.13,-0.06,0.48,0.051,-0.032,0.001,,,
1.7058,-0.12,-0.02,0.51,0.04,-0.027,0.001,,,
1.7067,-0.14,0.07,0.41,0.031,-0.022,0.002,,,
1.7075,-0.09,0.15,0.59,0.015,-0.013,0.001,,,
1.7083,-0.01,0.14,0.63,0.01,-0.008,0.001,,,
1.7092,0.03,0.1,0.61,0.006,-0.005,0,,,
1.71,0,0.09,0.62,0,-0.001,0.001,,,
1.7108,0.06,0.13,0.61,-0.002,0,0,,,
1.7117,0.05,0.18,0.62,-0.001,0,0.001,,,
1.7125,0.02,0.21,0.39,-0.002,-0.003,0,,,
1.7133,0,0.16,0.34,-0.001,0,0.001,,,
1.7142,0.04,0.15,0.21,-0.002,0.002,0,,,
1.715,0.07,0.22,0.03,-0.005,-0.001,0,,,
1.7158,0.01,0.24,-0.02,-0.007,-0.004,0.001,,,
1.7167,-0.01,0.17,0.05,-0.007,0.002,0.001,,,
1.7175,0.12,0.15,0.25,-0.004,0.002,0,,,
1.7183,0.06,0.17,0.12,-0.003,-0.006,0.001,,,
1.7192,-0.09,0.14,0.2,-0.001,-0.007,0.002,,,
1.72,-0.1,0.09,0.16,0,-0.002,0.001,,,
1.7208,0,0.06,0.1,0.002,0,0.003,,,
1.7217,0.08,-0.02,0.15,0.006,-0.003,0.002,,,
1.7225,-0.01,-0.05,0.16,0.007,-0.004,0.004,,,
1.7233,-0.03,-0.07,0.15,0.005,0,0.003,,,
1.7242,0.03,-0.03,0.15,0.005,0.002,0.004,,,
1.725,0.08,-0.03,0.12,0.006,0,0.003,,,
1.7258,0.06,-0.01,0.11,0.003,0,0.003,,,
1.7267,0.05,0.07,0.15,0.003,0.005,0.002,,,
1.7275,0.1,0.07,0.08,0.002,0.004,0.003,,,
1.7283,0.14,0.05,-0.25,0.002,0.001,0.003,,,
1.7292,0.03,0.09,-0.43,0.006,-0.003,0.003,,,
1.73,-0.01,0.05,-0.53,0.007,-0.003,0.003,,,
1.7308,0.05,0.06,-0.38,0.006,-0.001,0.002,,,
1.7317,0.04,-0.02,-0.2,0.004,-0.003,0.002,,,
1.7325,0.04,0.04,0.07,0.003,-0.001,0.002,,,
1.7333,0.05,0.06,0.18,0,-0.001,0.002,,,
1.7342,-0.01,0.14,0.25,-0.001,-0.002,0.003,,,
1.735,-0.06,0.13,0.28,0,-0.003,0.003,,,
1.7358,-0.04,0.12,0.24,0,-0.003,0.002,,,
1.7367,0,0.05,0.17,0.002,-0.002,0.003,,,
1.7375,0.09,-0.03,0.14,0.004,0.002,0.002,,,
1.7383,0.09,-0.06,0.09,0.006,0.002,0.003,,,
1.7392,0.07,-0.01,0.1,0.006,0.001,0.002,,,
1.74,0.03,0.04,0.03,0.006,0,0.002,,,
1.7408,-0.01,0.06,-0.07,0.006,-0.002,0.001,,,
1.7417,0,0.02,-0.02,0.006,-0.001,0.002,,,
1.7425,0.04,0.01,0.05,0.006,0,0.001,,,
1.7433,0.03,-0.01,0.16,0.005,-0.001,0.001,,,
1.7442,0.04,-0.04,0.21,0.006,0.001,0.001,,,
1.745,0.03,-0.03,0.17,0.005,-0.001,0,,,
1.7458,0.01,0,0.15,0.006,-0.001,0.001,,,
1.7467,0.05,0.01,0.22,0.006,0.001,0,,,
1.7475,0.1,0.01,0.25,0.004,0.003,0,,,
1.7483,0.03,0.01,0.18,0.005,-0.001,-0.001,,,
1.7492,-0.06,-0.05,0.18,0.009,-0.005,0,,,
1.75,0,-0.06,0.23,0.011,-0.002,-0.001,,,
1.7508,0.05,0.03,0.15,0.01,-0.002,-0.001,,,
1.7517,-0.02,-0.02,0.12,0.019,-0.008,-0.001,,,
1.7525,-0.04,-0.13,0.27,0.027,-0.012,0,,,
1.7533,-0.01,-0.11,0.3,0.034,-0.013,-0.002,,,
1.7542,-0.06,-0.17,0.24,0.044,-0.019,-0.001,,,
1.755,-0.14,-0.22,0.22,0.053,-0.025,-0.001,,,
1.7558,-0.14,-0.18,0.12,0.059,-0.028,-0.002,,,
1.7567,-0.08,-0.18,0.21,0.066,-0.03,-0.001,,,
1.7575,-0.06,-0.16,0.38,0.076,-0.034,-0.002,,,
1.7583,-0.07,-0.22,0.67,0.086,-0.038,-0.002,,,
1.7592,-0.11,-0.2,0.78,0.095,-0.043,-0.002,,,
1.76,-0.12,-0.16,0.7,0.102,-0.045,-0.002,,,
1.7608,-0.1,-0.11,0.6,0.106,-0.047,-0.002,,,
1.7617,-0.07,-0.05,0.39,0.112,-0.05,-0.002,,,
1.7625,-0.01,-0.1,0.35,0.122,-0.051,-0.002,,,
1.7633,0.04,-0.21,0.49,0.133,-0.053,-0.002,,,
1.7642,-0.02,-0.25,0.45,0.143,-0.059,-0.003,,,
1.765,-0.07,-0.34,0.45,0.153,-0.063,-0.003,,,
1.7658,-0.12,-0.34,0.5,0.159,-0.069,-0.002,,,
1.7667,-0.17,-0.34,0.31,0.167,-0.075,-0.003,,,
1.7675,-0.25,-0.46,0.27,0.174,-0.081,-0.002,,,
1.7683,-0.29,-0.54,0.19,0.181,-0.086,-0.002,,,
1.7692,-0.3,-0.57,0.09,0.188,-0.088,-0.003,,,
1.77,-0.3,-0.71,0.31,0.195,-0.094,-0.002,,,
1.7708,-0.47,-0.76,0.3,0.201,-0.105,-0.003,,,
1.7717,-0.56,-0.74,0.31,0.198,-0.107,-0.002,,,
1.7725,-0.52,-0.68,0.29,0.197,-0.107,-0.003,,,
1.7733,-0.51,-0.6,0.18,0.192,-0.107,-0.002,,,
1.7742,-0.47,-0.52,0.08,0.187,-0.104,-0.001,,,
1.775,-0.38,-0.49,0.14,0.183,-0.097,-0.002,,,
1.7758,-0.27,-0.51,0.23,0.181,-0.09,-0.001,,,
1.7767,-0.22,-0.43,0.37,0.173,-0.086,-0.003,,,
1.7775,-0.21,-0.4,0.52,0.169,-0.081,-0.001,,,
1.7783,-0.21,-0.3,0.55,0.16,-0.076,-0.003,,,
1.7792,-0.14,-0.2,0.36,0.149,-0.068,-0.002,,,
1.78,-0.04,-0.09,0.35,0.138,-0.063,-0.004,,,
1.7808,-0.02,-0.17,0.4,0.135,-0.059,-0.003,,,
1.7817,-0.01,-0.16,0.5,0.127,-0.056,-0.005,,,
1.7825,0,-0.2,0.52,0.122,-0.053,-0.004,,,
1.7833,-0.04,-0.18,0.6,0.114,-0.051,-0.004,,,
1.7842,-0.07,-0.19,0.7,0.108,-0.05,-0.005,,,
1.785,-0.11,-0.13,0.71,0.098,-0.047,-0.003,,,
1.7858,-0.07,-0.12,0.67,0.092,-0.043,-0.004,,,
1.7867,-0.09,-0.16,0.45,0.084,-0.04,-0.003,,,
1.7875,-0.07,-0.14,0.33,0.074,-0.037,-0.003,,,
1.7883,-0.06,-0.19,0.29,0.069,-0.034,-0.002,,,
1.7892,-0.05,-0.18,0.32,0.06,-0.03,-0.002,,,
1.79,-0.06,-0.12,0.32,0.049,-0.028,-0.003,,,
1.7908,-0.09,-0.08,0.47,0.04,-0.024,-0.001,,,
1.7917,-0.06,-0.05,0.68,0.031,-0.019,-0.002,,,
1.7925,-0.09,0.07,0.65,0.017,-0.015,0,,,
1.7933,-0.03,0.18,0.65,0.005,-0.01,-0.001,,,
1.7942,0.02,0.21,0.61,0.001,-0.004,0.001,,,
1.795,0.05,0.24,0.55,-0.005,-0.002,0,,,
1.7958,0.08,0.18,0.5,-0.003,0,0.001,,,
1.7967,0.09,0.09,0.61,-0.001,0,0,,,
1.7975,0.02,0.18,0.46,-0.005,-0.001,-0.001,,,
1.7983,0.01,0.18,0.41,-0.003,-0.002,0,,,
1.7992,0,0.21,0.24,-0.007,-0.001,0,,,
1.8,0.05,0.25,0.28,-0.008,-0.002,-0.001,,,
1.8008,-0.06,0.24,0.4,-0.007,-0.007,0,,,
1.8017,-0.03,0.16,0.72,-0.005,-0.002,0,,,
1.8025,0,0.2,0.69,-0.006,-0.003,-0.002,,,
1.8033,-0.04,0.25,0.59,-0.007,-0.006,-0.001,,,
1.8042,-0.05,0.25,0.76,-0.006,-0.005,-0.001,,,
1.805,-0.05,0.24,0.56,-0.006,-0.005,-0.001,,,
1.8058,0,0.23,0.39,-0.004,-0.006,-0.002,,,
1.8067,-0.03,0.13,0.45,-0.004,-0.004,-0.001,,,
1.8075,0,0.17,0.22,-0.009,-0.001,-0.001,,,
1.8083,0.05,0.29,0.02,-0.009,-0.001,-0.002,,,
1.8092,0.02,0.22,0.17,-0.007,-0.004,0.001,,,
1.81,-0.04,0.21,0.19,-0.007,-0.004,-0.001,,,
1.8108,-0.05,0.16,0.12,-0.005,-0.004,0.001,,,
1.8117,-0.07,0.09,0.15,-0.001,-0.005,0.002,,,
1.8125,-0.14,0.06,0.17,0,-0.008,0.002,,,
1.8133,-0.03,0.06,0.13,0.002,-0.004,0.003,,,
1.8142,0.09,-0.07,0.18,0.006,0.002,0.003,,,
1.815,0.02,-0.08,0.06,0.007,-0.001,0.005,,,
1.8158,-0.01,-0.04,0.15,0.006,-0.002,0.005,,,
1.8167,0.08,-0.03,0.2,0.007,0.004,0.004,,,
1.8175,0.14,-0.07,0.13,0.008,0.007,0.004,,,
1.8183,0.1,-0.06,0.02,0.009,0.005,0.005,,,
1.8192,0.1,-0.08,0.1,0.009,0.005,0.004,,,
1.82,0.11,-0.06,0.07,0.007,0.007,0.003,,,
1.8208,0.14,-0.02,-0.17,0.001,0.008,0.003,,,
1.8217,0.14,0.14,-0.56,-0.008,0.008,0.002,,,
1.8225,0.1,0.13,-0.58,-0.005,0.007,0.004,,,
1.8233,0.16,0.06,-0.16,-0.002,0.007,0.003,,,
1.8242,0.05,0.09,-0.14,-0.004,0.003,0.002,,,
1.825,0.03,0.07,0.01,-0.004,0.001,0.002,,,
1.8258,0,0.11,0.22,0,0,0.002,,,
1.8267,-0.02,0.18,0.27,-0.003,-0.001,0.002,,,
1.8275,-0.04,0.15,0.11,-0.004,-0.003,0,,,
1.8283,0.01,0.04,0.18,0.001,-0.002,0.001,,,
1.8292,-0.01,0.05,0.22,0.002,-0.003,0.001,,,
1.83,-0.01,0.03,0.08,0,-0.004,0,,,
1.8308,0,0.03,0.14,0.002,-0.002,0.001,,,
1.8317,0.05,0.06,0.2,0.003,0,0.001,,,
1.8325,-0.03,0.07,0.12,0.001,-0.003,0.001,,,
1.8333,-0.02,0.03,0.15,0.002,-0.003,0,,,
1.8342,0.05,0.04,0.2,0.004,0.001,0,,,
1.835,0.03,0.1,-0.02,-0.001,0,0.001,,,
1.8358,0.04,0.01,0.13,0.006,0.002,-0.001,,,
1.8367,0.05,-0.06,0.05,0.005,0.001,0.001,,,
1.8375,0.07,-0.01,0.09,0.003,0,0,,,
1.8383,0.03,-0.03,0.26,0.008,0.002,-0.001,,,
1.8392,0.11,-0.04,0.21,0.006,0.001,-0.001,,,
1.84,0.02,0.03,0.13,0.004,-0.002,0,,,
1.8408,0.01,0,0.24,0.008,0.003,-0.001,,,
1.8417,0.08,-0.03,0.23,0.006,0.001,-0.002,,,
1.8425,0.03,-0.01,0.16,0.006,0,-0.001,,,
1.8433,0.04,-0.03,0.2,0.008,0.002,-0.002,,,
1.8442,0.06,-0.04,0.14,0.006,0.001,-0.002,,,
1.845,0.04,0,0.08,0.006,0,-0.001,,,
1.8458,0.04,-0.02,0.13,0.007,0.001,-0.002,,,
1.8467,0.07,-0.01,0.13,0.005,0.001,-0.001,,,
1.8475,0.05,0.02,0.15,0.005,0,-0.001,,,
1.8483,0.02,-0.01,0.16,0.006,-0.002,-0.001,,,
1.8492,0,-0.03,0.06,0.006,-0.001,-0.001,,,
1.85,-0.01,0.01,0,0.006,-0.001,-0.002,,,
1.8508,0.04,0.02,0.08,0.003,0.001,-0.002,,,
1.8517,0.1,0.11,0.1,-0.002,0.005,-0.001,,,
1.8525,0.17,0.21,0.15,-0.007,0.006,-0.002,,,
1.8533,0.19,0.29,0.24,-0.011,0.008,-0.002,,,
1.8542,0.21,0.35,0.43,-0.013,0.006,-0.002,,,
1.855,0.17,0.4,0.95,-0.011,0.008,-0.003,,,
1.8558,0.27,0.33,1.37,-0.007,0.008,-0.004,,,
1.8567,0.15,0.3,0.88,-0.011,0.003,-0.003,,,
1.8575,0.1,0.38,0.35,-0.017,0.005,-0.003,,,
1.8583,0.09,0.43,0.18,-0.012,0.006,-0.006,,,
1.8592,0.15,0.27,0.08,-0.008,0.001,-0.005,,,
1.86,0.11,0.14,0,-0.002,-0.001,-0.006,,,
1.8608,0.09,0.02,0.07,0.003,-0.002,-0.006,,,
1.8617,0.06,-0.05,0.13,0.01,-0.009,-0.007,,,
1.8625,-0.03,-0.06,0.2,0.009,-0.017,-0.004,,,
1.8633,-0.22,0.1,0.33,0.013,-0.02,-0.006,,,
1.8642,-0.17,0.07,0.57,0.015,-0.019,-0.006,,,
1.865,-0.14,0.08,0.62,0.018,-0.021,-0.006,,,
1.8658,-0.18,0.04,0.46,0.027,-0.024,-0.005,,,
1.8667,-0.1,-0.02,0.38,0.038,-0.023,-0.004,,,
1.8675,-0.05,-0.06,0.39,0.047,-0.025,-0.005,,,
1.8683,-0.04,-0.05,0.35,0.057,-0.028,-0.003,,,
1.8692,-0.06,-0.07,0.26,0.065,-0.032,-0.004,,,
1.87,-0.05,-0.07,0.33,0.074,-0.034,-0.003,,,
1.8708,-0.01,-0.06,0.43,0.084,-0.037,-0.004,,,
1.8717,-0.09,-0.06,0.45,0.093,-0.043,-0.003,,,
1.8725,-0.06,-0.1,0.53,0.105,-0.045,-0.004,,,
1.8733,-0.06,-0.2,0.66,0.118,-0.047,-0.002,,,
1.8742,-0.02,-0.26,0.78,0.129,-0.05,-0.003,,,
1.875,-0.06,-0.35,0.8,0.141,-0.055,-0.002,,,
1.8758,-0.09,-0.4,0.8,0.151,-0.058,-0.002,,,
1.8767,-0.14,-0.45,0.6,0.16,-0.062,-0.002,,,
1.8775,-0.14,-0.45,0.56,0.167,-0.065,-0.002,,,
1.8783,-0.14,-0.55,0.51,0.177,-0.068,-0.001,,,
1.8792,-0.2,-0.56,0.39,0.181,-0.07,-0.001,,,
1.88,-0.16,-0.58,0.32,0.186,-0.071,-0.001,,,
1.8808,-0.19,-0.61,0.39,0.19,-0.074,0,,,
1.8817,-0.2,-0.67,0.54,0.195,-0.077,-0.001,,,
1.8825,-0.28,-0.7,0.54,0.194,-0.08,0,,,
1.8833,-0.32,-0.62,0.63,0.189,-0.08,0,,,
1.8842,-0.34,-0.58,0.52,0.185,-0.08,0.001,,,
1.885,-0.33,-0.48,0.53,0.177,-0.077,0.001,,,
1.8858,-0.24,-0.47,0.48,0.172,-0.075,0.001,,,
1.8867,-0.28,-0.4,0.46,0.162,-0.072,0.002,,,
1.8875,-0.22,-0.38,0.34,0.154,-0.07,0.001,,,
1.8883,-0.25,-0.35,0.42,0.144,-0.065,0.002,,,
1.8892,-0.18,-0.35,0.45,0.137,-0.064,0,,,
1.89,-0.26,-0.29,0.42,0.123,-0.059,0.001,,,
1.8908,-0.21,-0.22,0.38,0.112,-0.055,0,,,
1.8917,-0.21,-0.15,0.5,0.099,-0.049,0.001,,,
1.8925,-0.15,-0.14,0.58,0.089,-0.047,0,,,
1.8933,-0.21,-0.11,0.54,0.074,-0.04,0,,,
1.8942,-0.18,-0.09,0.55,0.062,-0.032,0.002,,,
1.895,-0.05,0.06,0.55,0.048,-0.026,-0.001,,,
1.8958,0,0.13,0.71,0.028,-0.017,-0.001,,,
1.8967,-0.01,0.19,0.54,0.014,-0.011,-0.002,,,
1.8975,0.09,0.24,0.27,0.007,-0.004,-0.001,,,
1.8983,0.05,0.21,0.28,0.003,-0.005,0,,,
1.8992,0.02,0.17,0.26,0,-0.004,-0.001,,,
1.9,0.03,0.16,0.34,-0.003,-0.001,-0.001,,,
1.9008,0.02,0.16,0.44,-0.003,-0.002,-0.001,,,
1.9017,-0.02,0.12,0.45,0,-0.003,0.001,,,
1.9025,-0.03,0.19,0.14,0,-0.004,0,,,
1.9033,-0.09,0.14,-0.11,0,-0.006,0.002,,,
1.9042,-0.06,0.05,-0.01,0.004,-0.006,0.004,,,
1.905,0.06,-0.1,0.19,0.007,0.003,0.003,,,
1.9058,0.14,-0.11,0.17,0.007,0.005,0.002,,,
1.9067,0.05,-0.09,0.09,0.006,0.001,0.004,,,
1.9075,0.03,-0.02,0.18,0.007,0.002,0.004,,,
1.9083,0.06,-0.01,0.17,0.006,0.006,0.003,,,
1.9092,0.12,0.03,0.06,0.005,0.008,0.003,,,
1.91,0.12,0.01,0,0.007,0.008,0.004,,,
1.9108,0.16,0.01,-0.04,0.007,0.011,0.003,,,
1.9117,0.17,0.03,-0.16,0.004,0.011,0.003,,,
1.9125,0.18,-0.01,-0.16,0.004,0.01,0.003,,,
1.9133,0.15,0.03,-0.02,0.006,0.009,0.003,,,
1.9142,0.12,0.12,-0.18,0.005,0.006,0.002,,,
1.915,-0.01,0.1,-0.28,0.003,-0.002,0.002,,,
1.9158,-0.04,0.03,-0.15,0.004,-0.003,0.002,,,
1.9167,0,0.05,0.03,0.004,-0.002,0.001,,,
1.9175,-0.04,0.06,0.02,0.001,-0.005,0.002,,,
1.9183,-0.05,-0.01,0.13,0.004,-0.004,0.002,,,
1.9192,-0.01,0.04,0.24,0.003,-0.002,0.002,,,
1.92,-0.02,0.09,0.14,0.001,-0.004,0.001,,,
1.9208,-0.08,0.07,0.15,0.004,-0.006,0.002,,,
1.9217,-0.03,0.06,0.12,0.004,-0.004,0.001,,,
1.9225,-0.08,0.05,-0.01,0.004,-0.006,0.001,,,
1.9233,0,0,-0.07,0.005,-0.003,0.001,,,
1.9242,-0.01,0.03,-0.02,0.007,-0.003,0.001,,,
1.925,-0.02,0.04,-0.1,0.004,-0.004,0.002,,,
1.9258,0.01,-0.01,0.03,0.004,-0.002,0.001,,,
1.9267,0.05,-0.01,0.14,0.005,0,0.001,,,
1.9275,0.01,0.01,0.15,0.005,-0.002,0,,,
1.9283,-0.01,-0.02,0.17,0.005,-0.002,0.001,,,
1.9292,0.01,-0.01,0.2,0.007,0,0,,,
1.93,0.03,-0.01,0.15,0.007,0,0,,,
1.9308,0.06,-0.04,0.06,0.008,0.001,0.001,,,
1.9317,0.08,-0.06,0.12,0.009,0.001,0,,,
1.9325,0.06,-0.02,0.01,0.007,0.001,0.001,,,
1.9333,0.04,-0.05,-0.02,0.008,0,0,,,
1.9342,0.04,-0.08,0.08,0.009,0,0.001,,,
1.935,0.07,-0.05,0.11,0.01,0.001,0,,,
1.9358,0.03,-0.04,0.17,0.013,-0.003,0.001,,,
1.9367,0.01,-0.07,0.25,0.019,-0.005,0,,,
1.9375,-0.03,-0.08,0.27,0.025,-0.01,0,,,
1.9383,-0.04,-0.1,0.16,0.031,-0.012,0,,,
1.9392,-0.03,-0.14,0.14,0.039,-0.016,-0.001,,,
1.94,-0.07,-0.16,0.2,0.045,-0.02,0,,,
1.9408,-0.05,-0.14,0.2,0.053,-0.023,-0.002,,,
1.9417,-0.07,-0.11,0.34,0.057,-0.027,0,,,
1.9425,-0.03,-0.07,0.42,0.066,-0.029,-0.002,,,
1.9433,-0.05,-0.06,0.62,0.075,-0.034,-0.001,,,
1.9442,-0.11,0.02,0.65,0.082,-0.039,-0.002,,,
1.945,-0.1,0.01,0.5,0.09,-0.042,-0.002,,,
1.9458,-0.07,-0.03,0.53,0.099,-0.044,-0.003,,,
1.9467,-0.04,-0.08,0.29,0.109,-0.047,-0.003,,,
1.9475,-0.02,-0.17,0.15,0.119,-0.051,-0.004,,,
1.9483,-0.01,-0.25,0.55,0.138,-0.051,-0.005,,,
1.9492,-0.04,-0.35,0.48,0.15,-0.058,-0.005,,,
1.95,-0.12,-0.41,0.45,0.157,-0.065,-0.005,,,
1.9508,-0.21,-0.39,0.34,0.164,-0.071,-0.006,,,
1.9517,-0.25,-0.46,0.12,0.174,-0.075,-0.006,,,
1.9525,-0.27,-0.51,0.18,0.181,-0.079,-0.006,,,
1.9533,-0.26,-0.62,0.18,0.193,-0.081,-0.007,,,
1.9542,-0.28,-0.83,0.23,0.201,-0.089,-0.006,,,
1.955,-0.4,-0.84,0.25,0.203,-0.093,-0.005,,,
1.9558,-0.38,-0.79,0.15,0.203,-0.092,-0.006,,,
1.9567,-0.38,-0.73,0.26,0.201,-0.094,-0.005,,,
1.9575,-0.39,-0.65,0.15,0.198,-0.095,-0.005,,,
1.9583,-0.36,-0.57,0.06,0.193,-0.092,-0.004,,,
1.9592,-0.31,-0.5,0.08,0.187,-0.089,-0.005,,,
1.96,-0.28,-0.5,0.21,0.186,-0.087,-0.005,,,
1.9608,-0.28,-0.52,0.21,0.18,-0.085,-0.004,,,
1.9617,-0.24,-0.47,0.32,0.173,-0.081,-0.005,,,
1.9625,-0.23,-0.44,0.34,0.166,-0.076,-0.004,,,
1.9633,-0.19,-0.38,0.32,0.157,-0.073,-0.005,,,
1.9642,-0.19,-0.32,0.28,0.147,-0.07,-0.004,,,
1.965,-0.15,-0.26,0.54,0.142,-0.064,-0.006,,,
1.9658,-0.09,-0.29,0.48,0.13,-0.058,-0.005,,,
1.9667,-0.05,-0.18,0.54,0.119,-0.054,-0.006,,,
1.9675,-0.05,-0.13,0.59,0.11,-0.05,-0.005,,,
1.9683,0.01,-0.09,0.75,0.101,-0.043,-0.006,,,
1.9692,0.03,-0.06,0.55,0.089,-0.041,-0.005,,,
1.97,0.02,0.01,0.56,0.079,-0.036,-0.005,,,
1.9708,0.05,0,0.42,0.071,-0.032,-0.005,,,
1.9717,0.05,0.03,0.33,0.063,-0.026,-0.004,,,
1.9725,0.09,-0.01,0.29,0.057,-0.025,-0.005,,,
1.9733,0,-0.07,0.32,0.052,-0.024,-0.003,,,
1.9742,0,-0.09,0.27,0.045,-0.021,-0.004,,,
1.975,-0.02,-0.09,0.38,0.038,-0.019,-0.003,,,
1.9758,-0.04,-0.11,0.56,0.033,-0.017,-0.002,,,
1.9767,-0.08,-0.1,0.52,0.023,-0.016,-0.001,,,
1.9775,-0.06,0.02,0.66,0.012,-0.012,-0.002,,,
1.9783,-0.04,0.09,0.66,0.005,-0.008,-0.001,,,
1.9792,-0.01,0.16,0.55,-0.003,-0.005,0,,,
1.98,0.01,0.23,0.5,-0.004,-0.003,-0.001,,,
1.9808,0.04,0.19,0.54,-0.003,-0.002,-0.001,,,
1.9817,0.07,0.21,0.38,-0.007,-0.002,-0.001,,,
1.9825,0,0.25,0.29,-0.009,-0.001,0,,,
1.9833,0.02,0.22,0.29,-0.006,-0.002,0,,,
1.9842,0.09,0.25,0.34,-0.008,0,-0.001,,,
1.985,0,0.24,0.47,-0.008,-0.001,0,,,
1.9858,-0.04,0.27,0.67,-0.006,-0.003,-0.001,,,
1.9867,-0.04,0.21,0.72,-0.005,-0.005,-0.001,,,
1.9875,-0.02,0.25,0.68,-0.007,-0.004,-0.002,,,
1.9883,0,0.2,0.7,-0.005,-0.004,-0.001,,,
1.9892,0.01,0.23,0.63,-0.004,-0.004,-0.001,,,
1.99,0.01,0.2,0.42,-0.006,-0.004,-0.001,,,
1.9908,0.04,0.23,0.17,-0.01,-0.003,-0.002,,,
1.9917,0.02,0.22,0.13,-0.009,-0.002,-0.001,,,
1.9925,0.04,0.21,0.3,-0.01,0,-0.001,,,
1.9933,0.08,0.28,0.26,-0.011,0.002,-0.002,,,
1.9942,-0.01,0.24,0.21,-0.008,-0.001,0,,,
1.995,-0.07,0.23,0.32,-0.004,-0.004,0,,,
1.9958,-0.02,0.15,0.31,-0.004,-0.003,0,,,
1.9967,0.05,0.09,0.17,-0.001,-0.001,0.001,,,
1.9975,-0.04,0.02,0.16,0.003,-0.007,0.001,,,
1.9983,-0.06,-0.07,0,0.005,0,0.003,,,
1.9992,0.23,-0.15,0.25,0.01,0.011,0.003,,,
2,0.14,-0.02,0.15,0.008,0.002,0.003,,,
2.0008,-0.06,-0.02,-0.03,0.007,-0.001,0.005,,,
2.0017,0.05,-0.09,0.16,0.01,0.009,0.003,,,
2.0025,0.15,-0.04,0.08,0.008,0.009,0.003,,,
2.0033,0.1,-0.06,-0.1,0.007,0.006,0.004,,,
2.0042,0.12,-0.09,0.06,0.009,0.01,0.003,,,
2.005,0.14,0.04,0.05,0.005,0.01,0.001,,,
2.0058,0.12,0.09,-0.09,0,0.006,0.002,,,
2.0067,0.07,0.04,-0.06,0.003,0.005,0.002,,,
2.0075,0.07,0.1,-0.05,0.001,0.007,0.001,,,
2.0083,0.08,0.17,-0.18,-0.003,0.005,0,,,
2.0092,0.03,0.15,-0.16,-0.005,0.003,0.002,,,
2.01,0.06,0.16,-0.02,-0.006,0.002,0,,,
2.0108,0.03,0.14,0.06,-0.003,0,0.001,,,
2.0117,0.01,0.1,0.13,-0.003,-0.001,0.001,,,
2.0125,-0.01,0.05,0.15,0.001,-0.002,0,,,
2.0133,-0.06,0.06,0.19,0.001,-0.004,0.001,,,
2.0142,-0.06,0.07,0.17,0.002,-0.004,0.001,,,
2.015,-0.04,0.03,0.16,0.003,-0.002,0.001,,,
2.0158,0.02,0,0.08,0.005,0.001,0,,,
2.0167,0.04,-0.04,0.11,0.006,0.002,0.001,,,
2.0175,0.04,-0.02,0.07,0.007,0.003,0,,,
2.0183,0.05,0.03,0.11,0.005,0.005,0,,,
2.0192,0.1,0.05,0.1,0.005,0.007,0,,,
2.02,0.1,0.01,0.2,0.006,0.007,0,,,
2.0208,0.07,0.01,0.12,0.007,0.007,-0.001,,,
2.0217,0.06,0,0.09,0.008,0.007,0,,,
2.0225,0.07,-0.01,0.08,0.008,0.007,-0.001,,,
2.0233,0.08,-0.03,0.19,0.008,0.007,-0.001,,,
2.0242,0.1,-0.02,0.18,0.009,0.008,-0.001,,,
2.025,0.11,-0.01,0.15,0.009,0.008,-0.001,,,
2.0258,0.12,0,0.09,0.008,0.008,-0.002,,,
2.0267,0.09,-0.02,0.13,0.009,0.005,-0.001,,,
2.0275,0.08,-0.03,0.09,0.009,0.004,-0.002,,,
2.0283,0.07,-0.05,0.2,0.008,0.003,-0.002,,,
2.0292,0.04,-0.03,0.15,0.007,0,-0.002,,,
2.03,0.02,-0.05,0.19,0.008,0.001,-0.001,,,
2.0308,0.03,-0.01,0.15,0.007,0,-0.003,,,
2.0317,0.03,-0.01,0.16,0.006,0.001,-0.002,,,
2.0325,0.04,-0.01,0.17,0.007,0,-0.002,,,
2.0333,0.03,-0.04,0.19,0.007,0,-0.002,,,
2.0342,0.03,-0.05,0.16,0.007,0.001,-0.002,,,
2.035,0.05,-0.03,0.21,0.006,0.002,-0.002,,,
2.0358,0.06,0.03,0.2,0.004,0.002,-0.002,,,
2.0367,0.06,0.06,0.2,0.003,0.002,-0.002,,,
2.0375,0.09,0.12,0.19,-0.001,0.006,-0.002,,,
2.0383,0.14,0.25,0.15,-0.008,0.006,-0.003,,,
2.0392,0.17,0.2,0.25,-0.003,0.004,-0.002,,,
2.04,0.09,0.17,0.34,-0.004,0.003,-0.002,,,
2.0408,0.12,0.23,0.47,-0.009,0.003,-0.003,,,
2.0417,0.13,0.23,0.58,-0.006,0.003,-0.003,,,
2.0425,0.06,0.23,0.55,-0.003,0.002,-0.003,,,
2.0433,-0.02,0.29,0.15,-0.008,-0.002,-0.003,,,
