0,1,2,3,4,5,6,7
1,2,3,4,5,6,7,8
1,3,4,5,6,7,8,9
1,3,4,5,7,8,9,10
2,3,4,6,7,8,10,11
2,3,6,7,8,10,11,12
4,7,8,9,10,11,12,13
1,4,6,8,9,11,13,14
6,8,10,11,12,13,14,15
5,8,10,11,13,14,15,16
9,11,12,13,14,15,16,17
3,5,9,11,14,15,17,18
3,8,10,14,16,17,18,19
6,7,10,11,14,16,18,19
4,7,13,15,16,17,19,21
1,10,11,13,15,18,19,22
3,7,15,17,19,21,22,23
12,15,16,17,20,21,22,24
12,14,17,19,20,22,23,25
11,17,18,19,21,22,23,26
1,7,16,18,21,22,24,26
4,10,16,22,23,24,26,28
4,8,10,12,14,24,25,28
14,16,17,19,20,23,25,27
8,15,20,21,22,26,27,28
10,14,17,18,20,27,29,30
4,14,15,22,26,27,30,31
32,33,15,17,19,23,24,31
34,6,12,22,24,26,27,31
32,33,3,10,12,14,24,30
32,35,37,21,23,25,27,30
32,34,37,38,9,15,20,24
1,36,37,39,8,17,19,23
32,33,5,38,40,15,26,28
32,34,36,40,12,20,22,31
33,35,39,10,11,21,25,30
34,40,12,19,22,26,28,29
34,37,38,39,40,21,22,25
32,36,37,6,8,41,45,31
34,36,11,44,13,46,22,24
38,39,44,47,19,25,28,29
34,35,38,40,45,14,47,20
36,10,42,12,13,47,20,24
34,39,40,14,47,46,50,21
34,7,14,47,48,50,20,22
33,34,39,40,43,47,18,20
36,38,9,43,48,51,53,29
32,37,41,42,13,48,49,26
34,36,42,45,49,53,23,27
43,48,49,19,51,22,55,30
42,12,45,46,49,22,54,56
11,47,49,50,51,52,54,58
33,38,42,48,56,26,27,29
36,38,44,45,17,20,29,31
33,36,41,50,53,54,56,57
40,46,47,49,53,54,57,26
34,40,10,42,53,54,56,59
33,37,39,46,21,59,61,31
32,43,11,44,49,26,27,63
65,38,39,44,51,58,61,62
65,34,67,66,44,13,20,55
65,36,68,40,43,45,61,63
65,35,41,15,49,18,55,60
68,43,15,16,23,56,27,63
65,35,21,55,24,29,30,31
68,71,46,54,22,57,60,31
34,68,69,72,49,51,56,59
32,36,38,70,42,47,52,24
33,66,37,44,51,59,60,29
36,72,41,40,76,49,50,60
