pitch
yaw
left
right
"['27', '140', '140']","['26', '0', '0']","['26', '0', '0']",1,140,140,48,1.7507154941558838
"['27', '140', '140']","['27', '140', '140']","['26', '0', '0']",4,140,180,48,0.04758167266845703
"['26', '140', '140']","['27', '140', '140']","['27', '140', '140']",6,140,200,48,0.057240962982177734
"['23', '140', '140']","['26', '140', '140']","['27', '140', '140']",5,180,140,48,0.04798388481140137
"['22', '140', '200']","['23', '140', '140']","['26', '140', '140']",5,180,140,48,0.0521395206451416
"['21', '140', '200']","['22', '140', '200']","['23', '140', '140']",5,180,140,48,0.047780752182006836
"['17', '140', '200']","['21', '140', '200']","['22', '140', '200']",5,180,140,56,0.04694938659667969
"['16', '180', '140']","['17', '140', '200']","['21', '140', '200']",5,180,140,61,0.04756927490234375
"['16', '180', '140']","['16', '180', '140']","['17', '140', '200']",5,180,140,48,0.048102378845214844
"['16', '180', '140']","['16', '180', '140']","['16', '180', '140']",5,180,140,51,0.04807734489440918
"['14', '180', '140']","['16', '180', '140']","['16', '180', '140']",5,180,140,39,0.06087470054626465
"['11', '180', '140']","['14', '180', '140']","['16', '180', '140']",5,180,140,59,0.047954559326171875
"['9', '180', '140']","['11', '180', '140']","['14', '180', '140']",5,180,140,48,0.05478620529174805
"['6', '180', '140']","['9', '180', '140']","['11', '180', '140']",5,180,140,44,0.09899210929870605
"['5', '180', '140']","['6', '180', '140']","['9', '180', '140']",5,180,140,52,0.0483548641204834
"['2', '180', '140']","['5', '180', '140']","['6', '180', '140']",5,180,140,48,0.04601025581359863
"['0', '180', '140']","['2', '180', '140']","['5', '180', '140']",5,180,140,49,0.05588173866271973
"['-7', '180', '140']","['0', '180', '140']","['2', '180', '140']",5,180,140,72,0.14795184135437012
"['-9', '180', '140']","['-7', '180', '140']","['0', '180', '140']",5,180,140,39,0.04877877235412598
"['-10', '180', '140']","['-9', '180', '140']","['-7', '180', '140']",5,180,140,44,0.04778337478637695
"['-11', '180', '140']","['-10', '180', '140']","['-9', '180', '140']",5,180,140,55,0.05613970756530762
"['-11', '180', '140']","['-11', '180', '140']","['-10', '180', '140']",5,180,140,49,0.04650735855102539
"['-14', '180', '140']","['-11', '180', '140']","['-11', '180', '140']",5,180,140,52,0.05206704139709473
"['-15', '180', '140']","['-14', '180', '140']","['-11', '180', '140']",1,140,140,44,0.05688285827636719
"['-20', '180', '140']","['-15', '180', '140']","['-14', '180', '140']",5,180,140,56,0.04808616638183594
"['-20', '140', '140']","['-20', '180', '140']","['-15', '180', '140']",5,180,140,48,0.04746389389038086
"['-21', '140', '140']","['-20', '140', '140']","['-20', '180', '140']",5,180,140,48,0.04652070999145508
"['-25', '180', '140']","['-21', '140', '140']","['-20', '140', '140']",5,180,140,47,0.04700493812561035
"['-26', '180', '140']","['-25', '180', '140']","['-21', '140', '140']",5,180,140,49,0.04714345932006836
"['-27', '180', '140']","['-26', '180', '140']","['-25', '180', '140']",5,180,140,59,0.05846762657165527
"['-30', '180', '140']","['-27', '180', '140']","['-26', '180', '140']",5,180,140,49,0.0485687255859375
"['-33', '180', '140']","['-30', '180', '140']","['-27', '180', '140']",5,180,140,42,0.047979116439819336
"['-34', '180', '140']","['-33', '180', '140']","['-30', '180', '140']",5,180,140,59,0.06043553352355957
"['-38', '180', '140']","['-34', '180', '140']","['-33', '180', '140']",2,140,160,50,0.04639601707458496
"['-37', '80', '140']","['-38', '180', '140']","['-34', '180', '140']",5,180,140,50,0.04803872108459473
"['-38', '180', '140']","['-37', '80', '140']","['-38', '180', '140']",5,180,140,41,0.04611611366271973
"['-39', '140', '160']","['-38', '180', '140']","['-37', '80', '140']",5,180,140,58,0.046835899353027344
"['-42', '180', '140']","['-39', '140', '160']","['-38', '180', '140']",5,180,140,50,0.05611228942871094
"['-41', '180', '140']","['-42', '180', '140']","['-39', '140', '160']",5,180,140,48,0.04649949073791504
"['-40', '180', '140']","['-41', '180', '140']","['-42', '180', '140']",5,180,140,43,0.05538058280944824
"['-42', '180', '140']","['-40', '180', '140']","['-41', '180', '140']",5,180,140,53,0.04856538772583008
"['-44', '180', '140']","['-42', '180', '140']","['-40', '180', '140']",5,180,140,48,0.05057549476623535
"['-45', '180', '140']","['-44', '180', '140']","['-42', '180', '140']",4,140,180,59,0.04549074172973633
"['-46', '10', '40']","['-45', '180', '140']","['-44', '180', '140']",5,180,140,50,0.047402381896972656
"['-48', '180', '140']","['-46', '10', '40']","['-45', '180', '140']",6,140,200,49,0.04668688774108887
"['-51', '140', '180']","['-48', '180', '140']","['-46', '10', '40']",6,140,200,49,0.058737754821777344
"['-54', '140', '180']","['-51', '140', '180']","['-48', '180', '140']",6,140,200,51,0.04766511917114258
"['-54', '140', '200']","['-54', '140', '180']","['-51', '140', '180']",6,140,200,51,0.05090141296386719
"['-55', '140', '200']","['-54', '140', '200']","['-54', '140', '180']",6,140,200,49,0.04586935043334961
"['-54', '140', '200']","['-55', '140', '200']","['-54', '140', '200']",6,140,200,50,0.04794478416442871
"['-53', '140', '200']","['-54', '140', '200']","['-55', '140', '200']",6,140,200,49,0.0482175350189209
"['-50', '140', '200']","['-53', '140', '200']","['-54', '140', '200']",6,140,200,49,0.06355404853820801
"['-48', '140', '200']","['-50', '140', '200']","['-53', '140', '200']",6,140,200,48,0.047115325927734375
"['-47', '140', '200']","['-48', '140', '200']","['-50', '140', '200']",6,140,200,48,0.047382354736328125
"['-45', '140', '200']","['-47', '140', '200']","['-48', '140', '200']",6,140,200,48,0.0617523193359375
"['-43', '140', '200']","['-45', '140', '200']","['-47', '140', '200']",5,180,140,58,0.04623603820800781
"['-43', '140', '200']","['-43', '140', '200']","['-45', '140', '200']",5,180,140,51,0.047950029373168945
"['-43', '140', '200']","['-43', '140', '200']","['-43', '140', '200']",5,180,140,49,0.04622292518615723
"['-43', '180', '140']","['-43', '140', '200']","['-43', '140', '200']",5,180,140,48,0.0466761589050293
"['-43', '180', '140']","['-43', '180', '140']","['-43', '140', '200']",5,180,140,54,0.053999900817871094
"['-41', '180', '140']","['-43', '180', '140']","['-43', '180', '140']",5,180,140,50,0.04854106903076172
"['-42', '180', '140']","['-41', '180', '140']","['-43', '180', '140']",5,180,140,50,0.053521156311035156
"['-44', '180', '140']","['-42', '180', '140']","['-41', '180', '140']",5,180,140,45,0.04742169380187988
"['-43', '180', '140']","['-44', '180', '140']","['-42', '180', '140']",5,180,140,53,0.04559516906738281
"['-47', '180', '140']","['-43', '180', '140']","['-44', '180', '140']",5,180,140,48,0.04714822769165039
"['-49', '180', '140']","['-47', '180', '140']","['-43', '180', '140']",6,140,200,48,0.0581049919128418
"['-50', '180', '140']","['-49', '180', '140']","['-47', '180', '140']",6,140,200,48,0.05128979682922363
"['-55', '140', '200']","['-50', '180', '140']","['-49', '180', '140']",6,140,200,61,0.049072980880737305
"['-58', '140', '200']","['-55', '140', '200']","['-50', '180', '140']",6,140,200,50,0.055895090103149414
"['-59', '140', '200']","['-58', '140', '200']","['-55', '140', '200']",6,140,200,50,0.04906129837036133
