0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
5,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
7,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
7,8,9,12,13,14,15,16,17,18,19,20,21,22,23,24
10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
7,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
8,10,11,13,16,17,18,19,20,21,22,23,24,25,26,27
11,12,14,15,16,18,19,20,21,22,23,24,25,26,27,28
14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
8,14,16,17,18,19,20,21,22,23,24,26,27,28,29,30
15,16,17,18,19,20,21,23,24,25,26,27,28,29,30,31
32,12,15,16,18,20,21,22,24,25,26,27,28,29,30,31
32,33,15,16,19,20,21,22,23,24,25,27,28,29,30,31
32,33,34,10,11,17,19,23,24,25,26,27,28,29,30,31
32,33,34,35,11,15,22,23,24,25,26,27,28,29,30,31
32,33,34,35,36,20,21,22,24,25,26,27,28,29,30,31
32,33,34,35,36,37,12,13,18,21,24,25,26,27,28,31
32,33,34,35,36,37,38,7,13,14,16,18,22,23,28,31
33,35,36,37,38,39,18,19,23,24,25,27,28,29,30,31
32,33,35,36,37,38,39,40,18,20,21,22,23,25,27,29
32,33,34,36,37,38,39,40,41,12,14,18,19,23,29,31
32,34,35,36,38,39,40,41,42,17,19,20,22,28,30,31
32,33,35,36,37,38,39,40,41,42,43,15,20,25,26,31
32,33,34,35,36,37,39,41,42,43,44,22,24,29,30,31
32,36,38,39,40,41,42,43,44,45,12,16,22,25,28,31
33,34,35,36,37,38,40,42,43,44,45,46,14,25,29,31
32,33,34,36,37,38,39,40,41,42,43,44,45,47,29,31
32,34,35,36,37,39,41,42,44,45,46,47,48,17,26,31
33,34,35,36,39,40,43,44,45,46,47,48,22,27,30,31
32,36,37,38,40,42,44,45,46,47,48,49,50,16,24,29
33,34,37,40,41,43,45,46,47,48,50,51,22,23,29,30
34,39,40,42,44,45,46,47,48,49,18,51,52,23,30,31
33,34,36,37,42,43,45,46,48,50,51,53,26,27,29,31
33,37,38,39,42,43,44,47,48,49,50,51,52,53,54,29
35,36,3,38,41,46,50,51,52,53,54,22,24,28,30,31
33,35,36,37,38,42,45,46,47,50,51,53,56,24,26,31
36,39,45,46,47,48,51,52,55,54,23,53,57,26,29,31
33,41,42,46,47,48,49,18,51,52,53,55,57,58,28,30
36,38,43,44,46,47,49,51,52,53,54,55,22,57,56,29
42,43,47,48,51,52,53,54,55,24,57,56,59,60,29,30
35,39,45,48,49,50,51,23,54,55,57,58,59,61,25,31
33,37,38,41,43,47,50,51,52,53,54,57,59,60,61,62
35,38,40,44,45,57,49,50,62,55,56,25,60,61,30,63
39,40,42,43,44,46,50,51,52,53,54,55,56,60,61,63
64,36,45,46,47,50,61,53,54,56,57,59,60,29,62,63
65,66,35,37,44,47,49,50,51,52,53,55,59,60,61,63
65,67,40,44,48,49,50,51,53,54,26,59,60,61,62,63
64,65,66,67,68,58,40,41,46,50,54,55,56,26,61,31
64,65,68,69,40,47,50,52,53,54,24,25,58,61,62,57
65,67,68,69,35,70,37,44,50,52,56,25,60,61,30,63
64,33,65,67,69,43,48,49,51,54,57,58,59,60,29,62
66,67,68,58,70,40,72,45,21,53,55,56,57,26,59,63
65,66,67,35,69,70,71,40,73,41,44,46,51,57,60,63
64,32,66,67,36,69,68,65,72,70,74,45,47,59,61,63
68,69,70,71,72,75,45,46,50,53,55,56,57,60,62,63
64,66,67,68,39,72,74,75,44,45,47,19,54,57,59,61
69,71,72,73,74,75,76,77,49,50,55,25,58,60,62,57
65,66,67,70,71,72,40,73,74,42,77,78,50,56,58,63
64,65,68,69,38,71,72,73,70,76,78,79,49,19,51,31
64,66,68,69,38,71,73,74,75,76,45,79,80,49,51,61
67,35,69,70,72,73,74,76,77,78,79,81,53,55,26,63
65,67,69,71,72,73,74,75,44,76,78,77,80,79,57,61
66,67,68,69,71,40,76,45,78,77,48,82,53,55,59,63
65,67,68,72,42,75,45,79,80,48,82,83,56,59,60,61
64,66,74,75,76,77,78,60,80,81,82,83,84,85,58,28
66,67,35,68,72,73,43,77,79,47,81,82,83,84,48,31
64,67,71,73,74,77,78,79,16,83,85,86,53,57,59,63
71,72,74,76,77,46,78,45,82,83,84,50,86,87,62,63
64,71,27,73,78,79,81,84,86,55,88,89,87,59,60,63
64,68,70,73,59,48,50,51,83,86,87,56,57,90,88,62
66,70,71,39,73,74,75,45,78,47,80,82,84,87,88,91
67,69,71,40,72,77,79,48,81,49,83,87,56,57,91,61
89,65,67,69,74,78,79,53,86,55,56,87,90,88,93,57
32,68,69,73,59,76,79,47,82,83,85,54,91,28,93,94
64,68,75,78,79,80,82,61,86,94,89,58,92,93,62,95
96,65,70,73,46,79,51,84,85,86,87,93,26,88,92,61
64,96,71,72,74,76,45,77,82,85,86,55,90,91,94,95
96,65,98,42,91,76,77,51,86,56,89,90,88,93,94,95
97,99,70,76,77,92,80,81,82,83,53,86,87,89,90,60
