0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18
4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
4,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20
6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
6,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
6,8,9,11,12,13,14,15,16,17,18,19,20,21,22,23
9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
7,8,9,11,14,15,16,17,18,19,20,21,22,23,24,25
9,10,11,12,15,16,17,18,19,20,21,22,23,24,25,26
8,11,12,14,15,16,17,19,20,21,22,23,24,25,26,27
10,12,13,14,16,17,19,20,21,22,23,24,25,26,27,28
8,12,13,14,16,18,19,20,22,23,24,25,26,27,28,29
14,15,16,17,19,20,21,22,23,24,25,26,27,28,29,30
13,14,16,17,18,20,21,22,23,25,26,27,28,29,30,31
32,13,17,18,20,21,22,23,24,25,26,27,28,29,30,31
32,33,8,16,18,21,22,23,24,25,26,27,28,29,30,31
32,33,34,18,19,20,22,23,24,25,26,27,28,29,30,31
32,33,34,35,17,19,20,21,22,24,25,26,27,28,30,31
32,33,34,35,36,16,18,22,23,24,26,27,28,29,30,31
32,33,34,35,36,37,14,21,23,25,26,27,28,29,30,31
34,35,37,38,12,15,17,20,22,23,24,25,27,29,30,31
32,33,34,35,36,37,38,39,15,16,24,25,26,27,28,29
32,33,34,35,36,37,38,39,15,21,22,24,25,29,30,31
32,33,34,35,36,38,39,40,41,17,25,26,27,28,29,31
32,33,34,36,37,39,41,42,16,18,23,25,26,28,29,30
32,33,34,35,36,38,39,40,41,42,43,17,26,27,28,29
33,35,36,37,38,40,41,42,43,44,24,26,27,28,29,31
32,33,35,36,37,38,39,42,43,44,45,21,23,26,29,30
34,35,36,37,40,41,42,43,44,45,46,20,23,26,27,31
33,35,36,37,38,39,40,42,43,44,45,47,19,28,30,31
34,35,39,40,41,42,43,45,46,47,48,19,22,24,27,29
33,34,35,36,38,39,40,42,43,44,46,48,49,22,26,27
34,35,36,39,40,41,44,45,46,47,48,49,50,25,28,29
34,36,37,39,40,41,43,45,46,47,48,51,20,22,26,30
32,38,41,42,43,44,11,46,47,18,51,52,21,50,28,30
33,34,36,37,41,44,46,47,48,49,50,51,52,53,22,28
33,35,36,37,39,42,43,45,46,47,50,51,52,53,54,29
32,34,35,40,41,43,12,51,52,53,54,55,23,28,29,31
33,37,39,41,42,44,47,49,50,52,53,54,55,56,26,29
33,34,26,37,46,47,49,50,51,52,53,21,55,56,57,54
35,58,38,42,43,44,47,49,50,52,53,54,23,55,26,27
32,38,44,45,46,16,49,50,51,52,53,54,55,56,57,26
35,40,41,45,47,48,49,30,54,55,56,22,58,59,60,24
32,42,43,44,45,46,47,21,53,55,54,57,58,59,28,61
32,35,36,37,59,43,45,50,53,54,55,57,27,28,61,62
35,39,59,43,48,49,50,63,52,56,57,27,60,61,62,31
32,64,34,40,48,49,62,21,53,55,56,57,60,61,30,63
64,36,40,44,46,51,62,54,55,56,57,59,60,61,30,63
64,66,36,38,41,57,47,49,52,55,56,24,58,60,62,63
65,66,67,43,12,45,28,49,51,52,54,57,59,60,61,63
64,68,40,41,43,45,47,48,53,54,55,22,58,60,62,63
64,65,34,67,68,69,38,52,54,55,56,59,60,61,62,63
64,65,67,68,69,38,70,42,45,48,52,54,57,58,59,62
65,34,68,69,70,71,41,43,46,47,56,57,58,59,61,31
64,65,67,71,72,44,45,47,50,53,55,56,57,58,59,31
67,69,70,72,73,41,48,51,52,54,57,58,59,60,62,63
65,66,68,69,72,73,74,41,46,50,54,56,58,60,61,63
65,66,68,69,70,39,72,75,46,16,49,50,53,55,59,61
65,66,67,36,69,35,68,72,42,43,52,53,55,58,59,63
66,69,70,71,73,42,75,74,45,43,15,47,51,53,58,63
64,65,36,68,72,74,75,78,47,51,52,54,22,56,59,60
69,70,71,72,74,75,76,77,42,47,48,79,50,55,62,31
34,66,74,76,45,78,79,80,77,51,55,25,58,59,60,62
67,68,69,70,71,39,73,74,77,78,79,80,49,59,60,61
64,65,35,68,70,39,71,74,44,77,79,80,82,56,59,63
67,68,72,76,77,78,79,81,29,83,52,55,56,25,60,61
65,66,67,68,69,70,72,74,31,46,79,49,83,84,60,63
65,69,70,72,73,74,44,45,78,79,80,83,51,57,59,61
32,33,67,36,68,70,72,43,77,49,83,84,85,86,62,63
64,66,67,69,72,73,44,45,78,79,82,85,86,87,57,60
65,66,67,72,45,77,79,81,82,51,85,55,88,57,59,63
66,72,73,41,77,81,82,51,84,85,86,50,88,89,59,62
68,75,76,77,78,48,82,50,85,86,87,88,55,59,60,62
64,65,33,68,41,76,79,81,82,52,85,86,84,89,91,63
66,67,39,72,73,74,76,78,48,81,20,54,87,88,89,57
32,67,72,74,76,78,92,50,83,82,86,88,89,56,60,93
64,67,69,90,74,77,78,80,83,93,86,88,56,91,92,61
66,68,72,73,41,77,45,82,53,94,62,89,91,93,25,63
64,67,70,38,40,73,74,45,79,82,89,91,92,93,94,95
96,64,67,68,73,59,76,63,87,88,89,90,91,93,62,57
65,98,66,97,69,74,81,50,85,62,88,89,91,63,94,57
65,97,99,69,44,76,78,79,80,82,93,53,55,92,63,95
