0,1,2,3,4,5,6,7
1,2,3,4,5,6,7,8
1,2,3,5,6,7,8,9
1,2,3,6,7,8,9,10
1,2,4,5,6,7,9,10
3,5,6,7,8,9,10,11
2,7,8,9,10,11,12,13
2,3,5,8,9,11,13,14
2,4,5,8,9,13,14,15
2,4,5,6,9,11,14,16
4,6,7,9,10,11,12,15
6,8,12,14,15,16,17,18
0,6,7,10,12,16,17,19
3,10,11,15,16,17,19,20
7,9,10,14,15,16,18,21
1,6,7,9,10,14,16,21
4,9,10,14,17,21,22,23
5,12,13,17,18,20,23,24
10,13,16,18,19,20,21,24
6,8,17,19,21,24,25,26
5,8,9,13,14,17,24,26
10,19,21,22,24,26,27,28
16,18,23,24,25,26,27,28
10,13,15,18,24,26,27,29
11,15,16,21,22,23,27,30
32,2,6,13,15,19,22,24
32,33,7,20,21,25,26,31
32,4,10,13,14,25,27,30
14,15,17,22,23,27,28,31
32,1,36,9,16,21,23,25
34,35,7,12,18,19,28,29
33,35,15,17,22,23,28,31
33,37,38,10,13,20,26,27
35,5,37,15,19,20,26,28
0,35,37,39,8,41,27,29
0,36,39,40,14,21,23,30
33,35,37,12,18,19,25,31
32,33,39,41,21,25,28,30
35,39,42,43,19,25,29,30
40,9,42,17,22,23,27,30
33,35,36,40,43,12,13,24
32,36,41,43,13,46,14,31
37,8,9,41,46,48,25,31
32,36,38,40,45,46,13,30
35,37,43,15,49,50,25,28
36,40,43,50,20,52,27,30
9,43,47,48,49,50,52,30
38,40,41,10,46,51,27,31
37,39,11,46,50,51,23,31
34,39,40,46,47,49,50,51
35,4,37,41,46,47,18,57
36,41,44,18,54,23,56,27
34,46,51,52,22,54,57,58
32,39,40,46,48,51,52,25
33,34,41,45,22,24,58,61
9,42,47,48,56,25,58,57
34,41,46,48,16,55,25,60
37,45,50,52,54,57,58,62
64,36,40,14,49,53,22,59
66,46,47,49,51,53,24,30
37,6,12,44,52,22,28,29
32,65,13,18,25,60,61,30
69,45,50,54,56,24,58,28
64,7,49,50,53,56,29,30
32,33,34,9,43,53,23,63
37,39,41,43,47,55,23,63
65,33,68,37,45,46,52,57
68,37,6,39,43,19,28,61
66,5,39,71,75,50,26,60
67,72,41,45,46,49,58,62
33,70,72,76,49,53,54,56
46,78,14,50,24,26,59,62
67,69,76,77,48,54,58,30
68,69,46,15,51,23,56,63
64,66,70,73,74,50,51,55
32,68,36,73,74,79,82,50
66,68,71,45,82,53,56,58
35,37,71,72,16,83,54,23
35,70,39,76,78,81,53,63
37,39,13,81,52,84,54,58
68,69,72,77,78,82,52,87
64,66,68,8,41,79,59,28
33,36,71,45,77,18,19,23
71,73,81,20,85,87,90,29
33,39,81,84,21,86,55,91
33,77,50,84,52,56,89,58
67,76,82,52,23,55,88,58
71,78,46,48,80,24,89,90
64,66,71,43,78,80,52,53
36,74,78,81,90,59,92,94
97,58,40,50,21,57,90,30
75,76,49,82,52,84,56,25
65,38,74,75,78,22,92,29
67,69,72,42,12,87,59,63
96,33,71,78,18,51,85,93
101,70,40,77,14,84,85,92
32,99,13,45,47,84,86,25
96,69,103,83,23,88,89,94
98,36,68,77,13,50,83,84
96,97,34,100,101,46,81,89
100,68,79,80,82,87,88,57
97,66,18,51,52,86,24,30
67,105,106,76,20,88,89,24
104,78,80,49,81,51,89,91
96,73,105,82,88,60,93,63
103,107,75,112,83,28,94,95
3,102,39,113,86,88,29,31
98,69,8,73,75,113,55,60
96,68,37,108,111,112,89,60
40,105,106,72,84,56,90,60
65,69,71,40,76,112,115,95
66,68,7,47,113,52,87,57
32,37,109,82,115,84,63,95
101,39,107,78,79,30,23,94
99,38,110,112,115,86,91,63
100,68,110,21,85,91,60,94
97,75,44,114,82,120,89,31
98,35,101,75,109,111,82,122
64,66,68,102,11,111,92,93
98,67,36,124,82,117,92,95
65,101,102,104,113,118,120,61
66,71,106,110,55,58,125,126
128,35,100,102,109,110,57,30
97,99,69,103,108,110,113,54
68,69,102,113,58,92,125,63
33,98,131,107,13,78,92,127
129,68,5,74,108,76,111,19
96,103,40,41,13,115,119,24
102,44,79,112,49,115,116,127
129,39,72,104,45,111,112,87
42,107,44,77,87,27,124,127
128,98,101,70,136,108,87,126
129,99,135,9,108,110,90,61
102,71,138,140,112,114,54,89
131,136,78,79,110,120,89,95
67,11,140,117,120,121,92,127
133,137,141,142,143,114,120,57
98,133,113,52,119,89,91,60
98,145,113,115,54,59,29,95
37,133,136,76,142,144,120,121
128,74,77,45,114,83,119,87
98,108,76,111,145,50,146,91
132,69,39,71,111,145,54,93
96,131,142,110,112,145,115,125
132,134,17,113,88,56,27,127
69,112,80,113,115,116,121,58
130,36,73,107,116,121,122,91
102,134,154,92,81,122,60,30
64,42,138,79,112,149,87,121
67,100,71,46,54,121,155,124
135,77,144,50,115,146,56,126
96,76,141,145,118,55,151,126
141,146,51,150,119,120,27,93
96,37,105,117,120,123,126,63
136,46,143,53,87,153,155,158
129,72,41,106,139,78,143,89
97,43,15,86,119,120,57,87
65,100,140,51,153,123,124,159
96,76,112,51,147,88,59,127
64,72,43,146,117,120,59,124
160,162,98,165,140,50,118,153
132,164,43,143,50,149,118,63
35,37,108,115,53,23,58,155
65,104,43,109,146,115,117,150
132,91,142,114,87,153,123,127
165,70,108,140,150,120,62,127
160,99,135,62,123,61,126,159
64,132,105,75,139,122,155,127
99,165,169,105,107,172,73,121
129,164,106,174,85,89,124,93
36,90,135,104,43,171,143,154
128,96,101,137,149,150,24,94
64,164,101,167,170,107,146,84
164,133,108,76,177,146,148,121
133,144,114,84,55,152,154,123
166,167,172,13,143,178,146,91
35,134,71,137,171,174,143,114
98,67,100,40,42,86,154,127
97,130,100,77,175,183,123,158
102,137,138,145,85,182,149,27
129,72,76,174,152,153,90,157
162,106,138,143,47,179,150,187
163,140,76,144,20,151,188,61
65,166,72,104,44,174,121,190
153,70,104,170,57,154,123,93
132,165,37,136,178,146,180,85
66,99,130,135,168,177,148,127
192,165,138,171,144,181,117,185
130,68,72,171,139,147,183,123
162,164,196,166,175,16,148,155
64,97,70,172,147,121,187,124
65,39,108,124,146,117,186,188
70,102,71,170,146,116,88,153
64,97,164,146,179,149,86,186
66,73,14,15,144,113,122,188
192,105,74,139,140,145,147,157
192,193,162,196,134,84,124,127
161,197,114,51,179,119,154,27
194,99,201,140,12,50,58,125
160,70,103,205,142,183,185,122
103,78,111,150,90,27,189,63
137,110,145,179,181,185,158,191
99,35,102,166,136,16,28,61
65,162,199,78,178,181,85,28
192,173,206,47,179,211,182,191
99,164,196,133,113,212,26,188
109,206,177,179,212,118,153,190
194,99,165,200,169,77,175,183
172,174,179,61,184,154,157,127
75,205,208,145,180,213,152,127
198,168,150,215,120,187,125,159
196,170,106,202,210,189,190,95
65,67,83,211,24,156,61,127
135,199,201,137,211,122,30,63
108,140,44,78,145,83,186,91
168,74,76,176,181,216,185,159
167,43,174,175,145,182,187,188
71,138,173,113,145,121,157,158
160,133,102,175,177,178,214,219
67,169,204,50,83,86,187,222
192,223,76,176,149,217,187,127
171,204,207,175,214,151,153,219
153,134,200,174,111,216,89,120
192,42,203,155,180,185,123,25
226,99,132,141,111,83,151,216
162,203,177,83,186,187,188,222
217,203,144,113,23,152,153,189
224,131,195,230,234,212,117,184
227,230,205,141,214,150,120,217
97,162,131,37,80,216,154,92
64,225,36,169,119,217,154,59
164,101,165,233,141,79,91,31
161,99,38,82,149,150,217,219
67,133,203,209,115,19,86,189
35,234,203,46,209,50,113,188
160,226,132,228,145,146,94,223
192,165,154,232,172,118,218,158
199,112,240,242,181,150,92,93
97,193,132,231,136,238,239,143
193,195,198,104,240,145,217,57
225,196,169,109,243,84,218,223
161,97,196,135,40,208,179,118
161,199,238,147,215,88,121,156
197,102,230,167,238,82,213,218
34,226,196,231,136,174,210,58
98,99,132,171,145,18,182,252
193,196,167,203,145,147,245,250
129,193,199,105,180,24,252,95
32,224,202,86,247,88,57,154
161,162,199,138,84,148,54,158
224,97,192,197,210,115,180,217
174,211,85,151,184,250,60,221
100,70,135,235,239,15,248,155
137,106,105,213,246,245,254,159
257,130,90,200,237,148,246,250
129,166,198,237,83,213,248,156
103,172,173,175,240,118,153,158
228,264,169,232,140,206,242,251
98,230,236,109,210,181,214,55
68,260,199,264,135,206,238,220
132,199,135,204,150,186,123,255
99,101,73,236,143,152,252,191
97,258,198,137,105,107,174,221
259,131,134,270,240,115,250,222
258,226,137,204,241,179,85,217
224,33,163,103,173,270,212,218
129,164,137,169,141,237,241,219
262,143,145,209,121,186,127,255
162,268,241,210,218,251,252,125
162,197,264,235,115,276,117,244
192,197,43,267,142,175,148,214
106,77,273,54,246,249,26,60
257,85,181,246,249,123,188,223
128,230,263,137,173,178,277,246
224,5,137,173,110,144,241,117
229,199,169,203,235,13,245,190
67,262,230,266,273,181,278,158
226,165,261,74,79,153,186,125
224,169,74,148,246,56,120,191
130,75,238,207,50,213,248,187
185,195,281,267,206,273,276,217
227,228,198,139,251,53,249,219
160,289,218,148,87,215,186,287
288,270,18,116,280,155,253,184
99,228,261,287,250,116,90,191
228,292,103,205,207,144,190,95
193,230,170,234,268,270,177,126
168,137,211,55,280,155,285,158
288,291,260,266,42,271,16,253
293,267,205,110,211,249,219,220
159,161,261,146,182,248,219,287
33,194,258,231,243,182,215,159
192,263,236,51,52,212,279,189
161,298,236,181,217,27,189,63
193,290,199,296,237,207,177,85
192,102,198,38,220,248,218,124
292,263,168,139,177,273,246,86
288,256,34,198,138,109,179,214
64,194,172,237,85,183,154,254
289,193,138,267,238,303,174,218
99,231,202,76,142,306,149,287
248,161,170,145,273,53,280,218
260,263,104,301,245,216,285,189
134,198,230,234,107,150,214,284
131,105,272,177,306,310,155,127
224,290,305,278,312,122,120,285
193,290,132,293,295,138,87,30
217,262,281,267,279,313,123,125
71,264,172,301,303,20,212,219
228,271,113,276,278,313,251,254
33,163,199,232,234,269,305,247
288,289,32,195,299,207,89,253
288,261,263,301,303,273,313,154
293,268,111,209,146,312,313,158
296,233,236,145,211,244,181,55
194,168,296,234,148,311,248,255
258,136,105,139,301,206,311,313
122,314,269,276,311,184,186,251
67,168,296,266,176,305,217,284
226,200,297,172,311,217,314,220
194,324,73,234,235,209,59,285
160,226,74,267,139,269,209,247
131,227,105,173,175,274,284,61
224,225,202,178,182,249,188,189
226,99,326,232,238,116,91,190
259,134,168,136,202,331,310,284
264,72,139,141,303,116,245,183
225,324,292,202,332,306,186,319
328,298,143,335,209,245,186,60
194,294,263,175,336,209,115,184
285,154,265,236,245,218,317,221
321,289,291,170,308,313,219,126
167,267,172,171,338,123,60,287
296,42,110,239,302,273,310,155
288,294,326,202,49,338,54,286
321,66,258,230,231,206,111,122
293,231,296,265,111,239,209,303
141,173,111,275,213,341,155,255
320,232,302,239,270,211,87,155
321,292,332,175,240,82,243,341
161,34,227,97,296,180,84,123
261,200,241,275,86,343,216,255
320,103,330,241,274,55,119,311
226,290,198,230,136,204,207,25
174,303,304,115,343,314,123,222
160,312,144,114,342,316,120,348
325,103,73,301,210,277,220,223
320,76,145,305,181,119,248,221
258,355,135,168,136,175,245,189
164,197,326,207,176,274,157,318
228,273,306,307,148,151,346,319
160,269,144,241,51,343,313,348
228,267,174,270,305,29,248,253
357,296,139,171,336,241,307,117
64,330,142,274,316,311,220,254
68,260,237,335,240,81,214,251
226,165,198,137,334,47,121,127
258,72,265,137,360,120,316,318
128,224,288,102,240,310,150,285
326,106,270,303,243,245,246,247
97,163,164,172,364,338,276,287
131,228,43,172,282,347,124,254
96,256,363,314,368,278,346,219
130,292,359,369,278,348,152,284
103,233,365,310,185,219,93,351
288,129,320,326,232,273,189,62
356,240,113,284,311,347,252,349
353,322,357,263,303,150,318,351
224,323,357,205,302,369,249,317
288,258,325,229,138,87,253,285
354,164,293,231,333,240,247,254
259,227,163,367,304,306,114,215
140,173,277,284,311,187,348,285
355,201,172,213,310,283,252,285
260,197,330,205,273,307,312,217
98,297,107,300,210,246,279,63
273,274,370,341,150,181,216,122
32,225,327,171,207,210,373,249
353,259,13,238,339,119,188,381
264,362,241,373,344,379,190,223
196,101,357,206,367,306,344,157
326,145,371,211,339,214,246,287
352,194,293,167,359,47,251,316
195,167,103,205,113,312,348,253
321,390,230,364,333,111,179,85
384,161,224,131,376,305,280,220
67,326,71,391,108,141,281,27
229,296,393,146,242,372,341,123
294,327,365,367,112,274,340,222
321,354,261,229,365,142,304,276
384,396,206,307,212,180,345,381
257,163,131,229,395,236,242,347
385,389,365,245,151,379,348,223
194,355,391,108,302,250,124,351
161,258,265,332,236,272,211,244
385,162,392,302,144,344,316,216
388,228,261,198,231,260,303,191
294,328,201,267,155,338,275,379
289,322,391,203,270,177,146,349
228,337,372,277,276,249,220,350
353,289,235,365,275,308,117,63
352,321,385,329,395,76,338,222
121,292,9,331,173,245,377,126
390,396,141,243,182,410,219,220
128,354,292,395,334,270,340,283
320,129,292,319,166,73,362,383
360,335,339,340,308,211,219,413
321,257,100,393,394,395,210,406
40,141,402,86,215,249,349,287
376,393,397,144,406,214,312,319
194,266,172,143,369,406,407,313
394,267,373,246,410,347,188,158
418,103,327,362,235,149,375,348
288,358,297,233,336,240,405,254
352,202,332,242,180,278,346,348
102,137,409,235,270,403,341,345
334,398,241,339,377,347,284,189
387,360,303,212,376,57,284,287
256,131,296,234,206,342,409,222
386,419,422,201,394,276,341,318
328,265,203,79,284,406,348,285
416,385,162,305,403,180,308,282
386,231,137,268,305,180,342,188
194,390,230,360,425,271,48,338
129,258,200,273,53,374,92,30
224,196,165,390,326,136,246,188
422,296,424,234,12,332,433,89
417,163,388,203,274,375,409,348
293,396,333,398,435,19,349,413
224,352,327,424,432,120,349,318
386,162,389,297,75,338,312,286
257,361,426,300,396,429,432,244
353,163,330,363,364,333,369,150
288,416,419,422,231,272,211,412
260,389,365,301,407,186,379,319
419,356,103,266,46,432,439,284
385,355,138,336,347,248,251,285
194,421,264,399,402,338,148,277
320,259,293,206,175,214,281,156
332,174,239,114,370,338,442,317
288,266,428,268,309,245,315,124
421,300,397,368,306,308,23,380
290,322,414,140,398,405,188,286
193,353,99,293,137,172,240,412
450,264,434,435,343,345,412,415
425,201,268,369,147,406,442,285
359,269,371,181,378,443,317,255
416,359,43,244,346,219,444,350
388,359,296,202,172,270,272,337
128,194,389,105,143,214,182,351
355,135,366,400,247,313,445,287
321,289,451,388,324,262,274,402
352,392,42,205,367,407,409,251
418,199,170,205,272,437,280,378
200,171,270,112,116,374,150,414
416,388,303,242,378,412,95,287
165,296,303,337,343,409,349,445
256,327,365,335,399,411,253,222
353,323,397,433,305,211,244,378
293,325,295,427,205,177,217,410
97,423,428,365,53,151,247,415
227,196,420,295,297,266,302,244
462,271,207,111,435,341,310,439
420,357,428,337,465,243,250,188
419,265,366,335,465,371,375,381
416,321,290,328,333,275,310,444
256,361,425,304,337,210,467,285
449,259,363,465,310,439,474,285
448,193,401,177,148,279,313,253
160,329,139,83,307,339,118,413
452,425,170,266,111,244,153,415
256,417,64,170,464,374,280,89
385,387,422,456,176,211,117,345
66,322,328,278,475,379,316,447
359,424,267,396,302,315,349,286
