0,1,2,3,4,5,6,7
1,2,3,4,5,6,7,8
1,3,4,5,6,7,8,9
2,3,4,5,6,8,9,10
1,3,5,6,8,9,10,11
2,3,4,5,6,8,10,12
0,3,5,7,9,10,12,13
2,3,6,7,9,11,12,14
4,5,7,8,11,12,13,14
2,3,4,5,10,13,14,16
3,9,12,13,14,15,16,17
5,7,8,12,13,15,17,18
2,5,9,11,14,15,17,19
10,13,14,15,16,17,18,20
9,10,12,15,16,19,20,21
4,11,14,18,19,20,21,22
4,7,9,15,19,21,22,23
7,10,12,14,18,19,20,23
3,13,15,18,20,21,22,25
6,10,13,18,23,24,25,26
16,18,19,20,21,23,26,27
8,14,17,18,24,25,27,28
11,16,17,18,19,22,27,29
9,13,17,19,21,24,26,29
3,20,22,23,24,28,29,30
7,12,18,19,20,21,28,29
32,33,6,17,18,19,20,21
33,4,5,10,18,20,24,25
34,14,17,21,24,25,27,30
35,4,5,13,15,17,18,28
32,33,8,21,24,27,28,29
36,14,15,19,24,25,28,30
32,33,35,15,17,20,21,28
33,35,36,38,13,20,21,31
32,34,35,7,16,19,23,27
34,37,8,41,11,19,28,29
33,34,11,12,19,22,24,30
34,35,43,17,19,26,29,31
33,36,38,41,43,18,22,27
36,37,40,11,45,20,25,31
37,38,8,11,46,47,16,26
33,38,40,41,43,46,16,17
33,34,37,44,45,48,49,21
32,34,35,40,42,44,13,24
34,36,39,41,44,15,19,51
37,38,42,46,49,50,23,31
33,42,45,13,48,17,52,24
37,40,41,45,48,50,22,30
38,40,41,45,49,52,22,54
41,45,47,48,18,51,50,55
42,45,46,51,54,22,57,26
35,36,43,46,49,50,54,25
34,48,50,19,57,58,28,29
41,14,50,19,54,55,24,58
32,38,45,51,22,55,25,29
34,10,42,15,49,56,60,62
8,40,50,51,53,24,61,62
34,40,43,60,15,47,54,28
33,35,38,50,57,28,62,63
34,36,38,43,45,25,60,57
64,33,47,48,18,50,58,61
33,67,41,44,46,15,54,56
66,68,69,39,41,45,47,54
32,65,67,70,43,50,59,29
38,70,42,17,19,52,22,29
65,68,69,72,46,56,25,59
33,35,69,37,39,54,26,27
65,66,36,69,51,52,20,56
32,27,74,43,50,52,59,62
40,73,43,76,75,52,56,24
