0,2,1,3
2,3,4,0
3,5,2,1
6,5,3,4
3,4,0,2
8,5,3,4
9,2,5,8
4,0,8,7
4,0,3,10
6,0,3,5
7,2,10,13
7,10,5,1
11,12,8,14
12,13,7,6
13,1,17,0
12,16,10,1
0,16,11,7
11,10,16,5
11,1,2,4
3,20,9,12
5,9,21,23
11,9,15,18
2,21,25,14
10,18,23,25
21,17,6,5
19,12,2,1
12,9,23,25
10,1,4,3
1,4,9,0
21,11,8,13
32,10,22,19
1,19,2,5
15,23,25,30
9,31,32,33
23,34,25,8
22,23,36,14
31,13,11,18
14,35,21,15
17,15,30,34
16,14,1,9
6,38,26,14
35,7,42,13
38,29,14,40
36,39,4,9
36,35,12,46
12,16,44,19
9,6,29,35
8,47,16,48
43,51,45,44
14,24,2,29
43,3,8,42
29,51,37,41
10,1,23,18
50,20,3,22
15,19,12,52
36,55,22,23
9,33,36,20
55,58,31,4
49,41,21,46
2,61,41,22
26,13,2,34
8,31,9,60
10,35,42,2
28,35,30,41
15,4,5,53
6,10,25,41
36,39,0,41
55,50,0,5
39,49,56,64
40,5,48,14
62,31,3,49
18,12,28,37
55,14,62,39
33,76,14,64
10,58,38,34
55,70,17,28
10,6,57,77
6,67,4,47
68,34,36,51
55,60,78,79
16,6,71,28
59,53,78,6
47,28,69,74
79,28,83,56
77,34,51,69
35,70,2,43
65,30,2,59
64,42,0,12
13,47,42,81
4,29,24,9
22,81,46,47
10,80,56,40
16,48,41,10
49,53,68,45
64,40,6,0
46,20,18,53
10,72,5,83
92,21,78,28
69,33,54,32
82,36,24,88
36,96,52,20
24,29,82,81
5,40,18,15
5,87,12,13
40,102,81,53
39,71,95,5
32,109,15,95
98,40,14,21
67,88,22,72
0,27,11,105
83,4,6,15
14,15,54,69
7,108,95,13
80,29,69,25
114,107,68,87
36,70,106,85
72,96,118,4
111,28,41,21
19,91,69,65
75,20,77,58
59,94,112,30
114,30,91,84
52,93,6,122
78,35,98,105
30,61,63,108
59,40,27,124
33,48,71,60
54,4,125,57
3,55,72,75
17,57,86,71
123,104,68,28
32,112,18,124
121,47,39,35
4,111,102,67
120,24,9,63
110,92,75,51
9,81,96,48
127,77,135,90
40,58,102,100
140,118,103,128
3,49,15,61
64,18,32,113
60,31,56,117
76,21,128,13
81,33,140,111
5,61,144,132
122,135,51,78
12,129,148,64
12,96,143,15
115,74,102,5
104,83,133,13
123,70,130,96
48,66,4,73
49,141,29,98
6,21,9,60
47,127,9,116
144,8,39,2
9,59,30,11
92,79,68,7
140,158,97,46
132,67,163,25
146,141,6,37
107,99,85,42
20,48,119,36
139,12,144,94
103,10,157,140
31,92,29,53
90,48,157,50
12,69,82,70
21,4,89,41
95,70,9,45
94,141,132,142
26,121,104,156
73,35,78,119
53,21,35,39
59,158,14,31
148,43,22,88
86,144,167,25
175,131,84,89
177,151,31,3
110,49,22,69
134,132,161,149
82,61,146,76
142,103,48,75
9,22,150,19
2,81,169,52
18,94,154,98
110,13,58,16
7,51,152,24
177,125,116,95
168,88,62,158
38,17,12,129
29,15,185,3
142,66,189,98
184,9,6,117
22,115,195,27
42,80,194,15
1,154,111,41
18,13,89,85
108,69,99,161
87,177,12,97
85,125,66,59
101,204,162,131
48,39,136,194
26,189,126,43
65,170,96,142
116,143,176,46
14,82,76,105
40,140,72,67
165,210,177,100
14,53,167,180
1,81,26,109
171,153,65,144
145,204,101,155
28,110,64,185
46,93,8,84
211,3,117,114
80,62,101,34
14,16,117,22
19,13,53,215
221,26,77,150
37,5,71,176
110,1,68,143
122,13,78,216
107,218,164,26
25,44,17,163
43,150,214,156
77,176,89,86
161,131,0,17
186,81,13,68
60,56,135,102
89,126,125,46
224,68,73,131
108,45,211,124
91,193,104,169
54,172,143,222
34,12,44,0
170,174,137,44
241,195,136,52
89,238,233,136
119,85,211,173
24,141,6,83
150,180,242,77
148,172,21,115
53,117,109,13
18,55,92,237
139,78,126,9
114,149,48,245
25,162,124,200
28,62,132,173
140,154,187,11
163,171,169,183
67,158,39,215
198,249,116,194
47,232,144,53
155,14,195,249
251,136,189,8
181,144,170,21
103,81,0,188
171,91,96,183
220,107,13,142
8,124,188,166
102,99,63,186
266,190,199,88
235,259,162,149
72,196,104,154
168,202,181,43
95,207,166,46
269,113,11,244
93,188,124,33
17,37,30,99
21,187,263,164
256,91,65,133
208,276,187,236
144,164,189,231
24,5,278,91
26,204,23,106
17,130,247,265
161,50,144,226
253,234,41,112
262,100,22,202
69,51,229,112
146,148,157,159
90,101,91,33
106,114,216,2
172,111,187,1
97,212,24,270
26,117,270,85
162,86,233,260
49,171,258,255
15,189,85,12
86,142,213,223
123,170,116,65
190,257,292,120
194,230,280,29
46,279,21,33
162,262,160,281
270,272,273,260
26,82,180,87
122,279,143,132
80,78,84,235
31,92,156,74
21,19,2,37
113,107,58,65
79,97,1,74
8,242,32,260
272,142,83,36
68,79,32,4
191,297,138,140
283,111,132,49
62,112,214,122
51,57,251,158
198,305,41,135
166,224,108,187
262,212,162,0
302,194,304,137
193,247,313,19
191,251,153,148
300,241,142,168
22,178,253,232
316,259,53,92
221,222,205,60
142,4,179,165
147,229,135,283
58,185,209,255
64,53,262,260
153,328,303,283
89,239,45,87
300,142,75,154
137,93,39,199
282,123,45,320
262,56,251,109
177,19,142,93
112,142,188,24
185,9,95,231
173,83,199,214
285,1,38,25
59,162,157,19
192,46,40,329
241,133,130,111
172,242,21,196
26,205,75,328
277,58,311,167
176,53,149,274
256,243,219,109
128,60,142,100
275,141,41,69
130,268,332,103
66,234,30,311
21,179,314,17
154,264,38,119
244,285,253,152
274,291,249,290
176,351,57,206
83,215,40,186
242,289,348,60
340,41,287,166
304,188,334,321
60,14,264,28
312,73,265,240
56,314,241,328
323,50,219,104
161,162,97,245
140,346,17,185
6,153,138,279
25,327,55,197
119,150,327,290
259,127,38,357
47,295,67,228
307,78,72,312
67,77,261,204
277,169,321,272
166,258,246,36
119,287,357,225
243,316,267,167
307,295,61,194
166,27,239,270
145,73,285,78
101,24,361,244
87,191,210,178
253,218,13,227
326,134,186,311
301,29,126,130
102,182,198,246
58,339,165,285
291,249,137,22
352,304,165,343
157,335,310,286
256,108,305,53
389,334,104,369
294,62,20,382
251,279,371,387
21,43,230,261
363,352,100,346
67,149,233,206
162,204,141,335
71,87,92,35
246,64,162,267
346,373,284,51
308,75,286,168
109,370,401,258
372,336,112,67
221,183,31,357
81,9,137,406
355,302,250,403
278,260,315,111
260,318,338,14
158,160,399,294
310,120,84,219
165,326,278,35
283,100,83,103
290,60,80,63
333,220,62,415
63,220,178,272
278,84,219,92
19,406,229,380
262,144,362,151
143,41,90,246
38,146,0,233
322,233,260,356
402,162,185,380
68,135,240,147
239,259,149,286
316,84,293,325
151,202,14,79
240,272,284,37
317,73,49,9
145,247,38,325
