0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
4,6,7,9,10,11,12,13,14,15,16,17,18,19,20,21
2,4,8,10,11,12,13,14,15,16,17,18,19,20,21,22
6,7,8,10,11,12,14,15,16,17,18,19,20,21,22,23
7,8,11,12,13,14,15,16,17,18,19,20,21,22,23,24
9,10,11,12,13,14,16,17,18,19,20,21,22,23,24,25
9,10,12,13,15,16,17,18,19,20,21,22,23,24,25,26
10,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
6,10,11,12,16,17,18,20,21,22,23,24,25,26,27,28
9,10,14,15,16,18,19,20,22,23,24,25,26,27,28,29
12,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
8,14,15,16,17,19,22,23,24,25,26,27,28,29,30,31
32,7,11,18,20,21,22,23,24,25,26,27,28,29,30,31
32,33,4,15,17,19,21,22,23,24,25,27,28,29,30,31
32,33,34,11,13,16,17,19,21,22,23,24,25,27,29,31
32,33,34,35,12,14,17,19,22,23,24,27,28,29,30,31
32,33,34,35,36,17,18,19,20,22,23,27,28,29,30,31
32,34,35,36,37,7,13,17,21,22,24,25,28,29,30,31
32,33,34,36,37,38,16,18,23,24,25,26,27,29,30,31
32,33,34,35,37,38,39,12,19,21,23,25,27,29,30,31
32,33,35,37,38,39,40,7,14,19,22,23,27,28,30,31
32,33,35,36,37,38,39,40,41,14,16,21,24,26,28,29
32,34,36,37,38,39,40,41,42,21,22,23,26,27,28,31
33,34,35,36,37,39,40,41,42,43,17,20,24,27,28,30
32,35,37,38,40,9,42,43,44,21,24,26,27,28,30,31
34,36,37,38,39,40,41,42,44,20,21,22,23,27,29,30
32,35,36,37,38,39,40,41,42,43,44,46,20,27,30,31
33,37,38,39,40,43,44,45,46,47,11,19,20,27,28,30
32,34,37,38,39,40,41,43,44,47,48,23,24,26,28,31
34,35,37,38,39,41,42,43,44,9,47,49,25,26,28,29
35,37,38,39,42,43,44,45,46,47,48,49,50,24,28,31
34,35,36,37,39,41,43,45,13,14,47,49,46,51,50,26
34,35,36,38,41,42,44,45,48,49,16,50,52,51,25,28
33,35,37,39,40,41,42,45,46,47,48,49,51,20,52,23
32,34,37,38,42,11,44,46,47,48,52,54,22,25,28,29
36,37,38,39,40,41,42,45,48,49,51,52,53,54,28,29
34,35,39,40,41,43,44,45,47,48,50,52,53,56,28,31
33,37,39,40,43,46,47,48,50,51,52,53,54,55,56,31
34,38,39,40,41,42,43,49,52,53,54,55,56,57,58,29
32,33,38,40,41,42,44,45,48,49,51,55,57,26,29,30
35,39,43,44,45,46,48,17,52,54,55,56,57,58,60,30
39,43,45,47,49,50,51,53,55,56,57,58,59,29,24,31
33,35,38,42,45,50,51,52,53,54,55,57,59,60,61,62
36,42,46,47,16,48,51,52,54,56,57,58,60,61,62,63
64,34,35,36,37,43,49,50,51,54,55,56,58,59,60,61
64,65,36,42,44,45,46,51,53,54,57,27,60,61,62,31
66,35,36,37,41,42,44,45,47,49,50,51,58,60,62,63
64,65,66,67,38,12,44,46,47,52,55,56,58,59,60,63
65,66,67,38,40,41,44,49,52,53,54,58,60,61,62,63
32,33,67,36,69,68,42,43,44,47,51,57,60,61,62,63
64,65,34,68,69,37,70,41,43,47,48,49,51,54,62,63
64,65,66,35,68,37,45,46,47,50,54,55,56,58,60,62
64,66,37,70,71,72,43,44,50,53,54,55,57,59,29,63
64,65,66,67,69,70,73,42,44,52,54,56,27,60,61,62
64,69,71,40,73,74,43,44,48,49,23,54,55,58,27,61
66,67,68,69,70,72,40,75,18,52,54,55,56,25,59,62
66,68,69,71,72,73,75,76,47,49,54,58,60,61,62,63
64,33,67,35,37,70,73,41,44,76,50,54,59,60,62,63
64,70,71,72,75,76,45,46,77,47,48,52,55,26,59,61
65,68,38,70,72,73,76,77,78,47,48,53,55,57,59,61
64,33,65,67,69,70,71,72,73,78,47,80,58,60,62,63
64,67,70,74,44,77,78,47,80,50,51,55,57,58,60,63
64,67,36,70,71,72,73,76,77,79,81,82,53,58,60,62
67,68,69,36,73,75,76,77,79,80,81,82,83,54,55,59
66,67,36,69,71,72,74,43,76,79,80,83,84,53,21,60
67,69,70,72,75,76,44,79,81,82,83,85,56,57,61,31
64,67,68,69,70,74,80,82,83,52,53,84,57,59,61,31
65,73,74,43,76,77,78,81,82,84,85,86,54,60,30,63
38,70,73,74,77,79,49,81,83,52,82,84,87,88,53,56
69,70,71,73,74,75,79,49,81,83,63,88,89,61,62,57
64,66,67,35,71,72,73,81,82,84,85,87,89,58,62,57
33,67,72,74,77,79,81,50,83,52,85,86,49,88,90,91
32,69,75,44,76,47,49,83,84,85,86,56,89,90,91,92
66,67,72,74,60,92,80,82,83,84,86,88,90,59,28,61
71,72,75,46,79,80,81,48,52,85,53,55,93,57,91,29
34,66,68,70,38,73,74,77,81,82,83,85,86,91,92,95
66,69,72,76,77,78,60,82,86,88,89,90,91,92,93,95
96,97,72,78,80,81,82,63,61,94,88,89,92,93,62,95
65,98,67,66,97,70,76,78,80,84,53,87,55,88,94,63
97,98,71,77,46,78,79,50,84,86,88,90,91,92,61,95
