0,1,2,3,4,5,6,7
1,2,3,4,5,6,7,8
1,2,4,5,6,7,8,9
3,4,5,6,7,8,9,10
2,3,4,6,7,8,9,11
3,4,5,6,7,10,11,12
4,6,7,9,10,11,12,13
3,8,9,10,11,12,13,14
2,3,5,11,12,13,14,15
3,5,6,9,11,12,13,15
3,6,7,8,9,10,14,17
6,7,9,10,11,12,13,15
3,11,12,13,14,15,18,19
0,8,9,10,11,14,15,18
6,7,9,14,16,18,19,21
4,5,8,12,15,16,19,20
6,8,13,14,15,21,22,23
10,11,12,13,15,16,17,23
2,3,11,20,21,22,23,24
5,8,10,18,23,24,25,26
9,16,17,19,23,24,26,27
3,12,16,19,24,25,27,28
7,19,24,25,26,27,28,29
5,12,16,20,21,25,27,29
7,19,21,22,24,25,26,30
9,11,19,20,25,27,28,31
32,7,13,14,24,25,27,28
3,5,18,21,24,26,29,31
8,13,24,25,26,27,29,30
7,11,12,21,22,28,29,30
32,33,35,37,12,13,15,31
32,36,37,38,12,25,29,31
33,4,38,15,17,19,20,28
0,33,37,14,18,20,23,24
35,36,38,19,26,27,29,31
32,34,38,7,40,14,19,22
33,34,35,41,13,19,22,25
35,37,42,16,20,23,25,28
35,40,41,45,16,18,22,31
33,35,41,44,46,21,22,25
35,38,11,46,17,20,27,29
33,4,6,39,46,18,20,22
35,39,40,8,13,14,49,26
34,41,12,45,16,48,50,22
33,35,45,46,47,16,18,23
9,44,14,49,52,24,27,30
39,42,44,47,48,50,25,26
34,37,39,40,43,15,52,27
35,44,47,49,19,23,54,55
9,42,14,46,49,50,19,56
38,42,43,44,50,52,54,23
10,42,44,47,50,51,54,58
32,38,45,51,54,25,58,31
37,8,41,48,52,57,59,29
35,40,46,15,52,53,55,31
32,46,48,22,23,57,58,59
34,37,42,43,20,56,58,63
64,33,36,17,54,55,26,61
37,47,49,53,56,24,61,63
64,65,45,50,19,26,61,63
65,37,42,43,50,54,57,27
64,65,67,36,11,48,49,57
35,44,47,56,58,27,61,62
65,69,10,42,46,17,20,62
33,67,68,36,70,40,44,52
66,35,38,71,39,55,25,60
69,71,45,47,51,54,26,63
69,46,47,56,25,26,28,57
65,34,38,72,8,53,56,27
34,66,71,49,50,25,59,61
66,38,70,40,77,48,17,61
32,66,38,78,50,19,52,21
65,69,40,74,75,76,53,61
64,35,43,44,47,80,58,59
33,11,79,80,81,50,57,30
