0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
4,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
6,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
3,6,7,10,11,13,14,15,16,17,18,19,20,21,22,23
7,9,10,11,12,14,15,16,17,18,19,20,21,22,23,24
2,10,11,12,13,15,16,17,18,19,20,21,22,23,24,25
7,8,11,12,14,15,17,18,19,20,21,22,23,24,25,26
4,7,9,11,14,17,18,19,20,21,22,23,24,25,26,27
10,13,14,16,17,18,19,20,21,22,23,24,25,26,27,28
11,13,14,15,18,19,20,21,22,23,24,25,26,27,28,29
9,12,13,16,17,19,20,22,23,24,25,26,27,28,29,30
4,12,15,16,18,19,21,22,23,24,26,27,28,29,30,31
32,14,17,18,20,21,22,23,24,25,26,27,28,29,30,31
32,33,12,15,19,20,21,22,23,24,25,26,27,28,29,31
32,33,34,14,15,18,21,23,24,25,26,27,28,29,30,31
32,33,34,35,9,18,20,21,22,23,25,26,28,29,30,31
32,33,34,35,36,15,18,19,22,23,26,27,28,29,30,31
32,33,34,35,36,37,20,21,22,24,26,27,28,29,30,31
32,33,34,35,36,37,38,15,18,22,23,24,25,28,30,31
32,33,36,37,38,39,17,21,22,24,25,26,27,28,30,31
33,34,35,36,37,39,40,12,16,18,20,25,28,29,30,31
32,33,34,35,37,38,39,40,41,13,17,24,25,26,29,30
32,33,35,37,38,40,41,42,14,17,20,22,26,27,28,30
32,35,36,37,38,39,40,41,8,42,20,23,27,28,29,31
32,33,36,37,38,39,40,41,42,43,44,23,28,29,30,31
33,34,35,36,37,38,39,40,41,42,43,44,24,25,29,30
33,34,35,38,40,41,42,43,44,45,18,24,25,28,29,30
32,34,37,38,40,41,42,43,44,45,46,47,23,25,26,27
32,33,35,37,39,41,42,43,44,45,47,48,18,24,25,30
32,36,38,41,42,43,44,45,46,13,48,47,49,24,27,28
35,36,37,40,41,42,43,44,45,46,47,11,48,50,24,29
36,38,40,41,42,43,44,45,46,47,48,49,50,28,29,31
35,37,39,40,41,42,45,46,47,48,49,50,52,22,27,30
33,34,38,40,41,42,43,44,47,49,50,51,52,53,23,26
32,33,34,36,39,43,44,45,46,47,50,51,52,53,54,23
36,39,40,44,13,46,47,48,49,50,53,54,55,26,28,31
32,33,38,39,40,41,45,46,47,51,52,53,54,55,56,30
33,38,39,42,44,46,48,49,50,51,52,53,54,55,57,29
35,36,39,46,47,48,49,50,51,52,54,55,57,26,28,29
36,9,42,41,44,45,46,47,51,54,55,56,57,58,59,31
32,33,36,37,39,42,43,45,47,49,23,55,57,58,59,60
34,38,41,43,46,48,49,51,52,21,20,53,57,60,61,25
37,38,40,45,46,47,28,49,51,54,55,56,57,60,61,62
38,41,42,43,44,49,29,51,52,53,55,56,24,60,61,63
64,34,36,39,42,43,48,49,50,52,53,54,56,59,61,63
64,65,37,41,42,46,47,48,50,52,54,56,58,60,63,31
64,65,66,37,40,43,44,45,49,51,52,56,58,59,60,61
64,66,35,34,40,49,50,51,52,53,54,55,56,61,62,31
65,68,39,27,41,43,44,49,50,53,54,55,59,61,62,63
64,65,67,68,45,46,49,50,53,54,55,57,59,61,62,63
32,65,66,56,68,70,41,45,50,54,24,58,59,60,61,30
65,66,67,35,33,70,71,40,45,47,51,52,53,57,60,63
64,65,34,66,68,67,70,72,42,43,47,49,52,53,26,59
64,65,68,72,73,45,47,48,52,54,56,57,58,59,61,63
64,66,67,68,69,70,34,74,46,49,55,57,58,59,61,63
64,33,66,68,71,72,73,74,75,48,49,24,57,59,61,62
65,68,69,70,71,72,40,37,44,76,47,52,56,58,59,60
65,66,67,69,70,72,74,75,76,49,50,57,58,59,60,61
67,36,69,71,72,73,75,76,77,46,44,51,52,53,54,31
32,64,68,70,71,74,75,76,77,78,50,55,23,57,61,63
64,65,67,70,74,43,76,45,77,78,80,49,51,52,59,62
64,65,66,67,68,71,40,41,73,75,76,45,74,80,55,58
64,66,67,68,36,70,72,40,74,75,44,77,42,52,27,62
64,69,70,71,72,10,76,48,80,82,83,49,53,55,60,29
67,36,70,71,72,40,78,80,48,50,82,84,51,81,58,61
65,68,69,70,71,72,73,75,76,44,79,52,85,84,56,59
67,69,70,71,72,76,78,79,47,81,82,49,53,86,58,60
35,73,75,76,45,78,48,49,82,51,80,52,86,87,58,59
68,70,71,73,75,78,47,80,82,84,86,87,88,61,30,31
64,66,39,73,76,77,79,81,82,83,84,85,86,87,88,89
72,76,79,47,81,82,51,84,54,87,86,89,90,88,62,31
64,65,69,70,71,73,75,76,79,81,83,87,88,89,90,91
66,36,39,73,74,75,44,78,48,81,80,84,54,89,57,63
66,72,73,76,77,78,46,79,81,83,52,86,90,92,93,62
67,68,40,72,75,76,48,81,82,80,84,53,86,87,89,61
64,66,67,68,42,75,77,79,81,85,87,90,60,93,94,95
65,67,45,81,49,51,17,83,86,87,89,90,91,92,62,95
64,96,69,74,78,80,81,82,52,85,87,88,89,92,94,63
36,71,76,77,78,80,81,82,83,93,94,89,92,61,62,95
97,99,68,70,74,75,81,49,82,54,87,88,57,93,94,63
