0,1,2,3,4,5,6,7
0,1,2,3,5,6,7,8
2,3,4,5,6,7,8,9
1,4,5,6,7,8,9,10
3,4,5,6,7,8,9,10
2,4,6,7,9,10,11,12
3,6,8,9,10,11,12,13
3,5,6,10,11,12,13,14
2,8,9,10,11,12,13,14
4,7,8,9,11,12,13,16
0,2,4,9,11,15,16,17
6,8,9,10,11,13,14,18
5,6,7,9,13,15,16,19
2,4,5,9,10,12,18,20
3,9,13,15,16,19,20,21
3,8,10,16,17,19,21,22
7,10,12,15,17,18,21,22
12,14,15,17,18,19,22,23
8,11,12,15,17,20,22,24
10,14,16,18,22,24,25,26
11,12,13,15,17,20,21,24
11,14,16,17,23,24,25,28
8,14,15,19,23,24,25,27
7,9,14,19,23,24,26,28
19,22,23,24,26,28,29,30
1,10,13,17,20,28,29,31
32,6,11,13,21,23,26,29
33,34,15,21,22,23,26,30
34,35,11,14,17,18,26,29
12,13,15,16,20,24,27,31
32,35,36,12,14,15,26,29
35,37,38,18,23,28,30,31
34,35,37,14,16,22,23,30
32,34,13,21,22,24,27,29
33,39,13,16,24,25,26,29
33,40,41,18,19,26,29,30
2,35,40,42,18,20,21,30
2,35,38,40,41,42,44,22
38,43,12,45,44,24,28,31
36,39,40,14,46,26,28,30
36,38,42,44,45,16,19,22
34,38,39,45,23,24,29,30
34,42,13,46,19,23,26,27
37,38,40,11,45,47,48,20
34,6,38,43,13,47,49,28
32,36,39,40,46,47,49,24
32,35,37,40,43,46,48,17
39,14,49,51,20,54,28,31
33,36,41,12,47,18,53,25
34,38,39,40,45,49,50,24
33,34,11,47,51,20,53,21
33,39,45,15,53,55,56,27
33,41,59,48,55,26,27,31
45,14,48,49,58,59,60,29
27,9,43,49,50,54,24,59
41,48,19,52,53,59,60,62
32,45,48,19,26,59,60,61
38,8,11,53,23,24,58,59
35,9,10,51,20,21,60,61
64,66,3,36,38,48,57,61
58,7,46,48,52,53,26,59
64,65,37,40,46,50,59,62
64,65,39,9,48,52,56,57
67,69,38,41,46,49,57,31
66,41,12,53,54,56,62,63
34,69,71,40,12,45,54,60
34,68,70,71,72,41,50,52
64,67,69,70,48,55,61,63
37,12,46,16,51,53,55,27
35,67,71,42,17,55,27,61
35,68,69,53,22,56,59,60
42,44,47,53,23,59,61,62
32,65,36,78,46,48,54,58
33,41,79,18,52,58,27,63
37,74,43,12,21,30,29,62
66,67,68,6,71,81,56,60
66,3,71,73,14,82,25,30
64,68,70,10,74,49,25,63
36,71,78,79,20,53,60,63
37,38,71,72,43,49,53,22
66,39,79,17,81,21,87,55
33,66,67,41,81,20,84,59
33,72,77,49,20,84,25,59
44,77,76,47,81,82,88,89
42,13,77,47,83,86,58,62
66,40,47,17,53,86,90,31
38,39,41,43,46,84,24,56
33,38,72,12,51,86,88,58
65,66,76,81,84,26,92,95
41,75,77,79,81,54,90,63
64,96,7,77,80,82,24,63
71,52,85,87,24,56,93,94
33,69,38,43,78,51,59,60
33,36,68,72,45,46,86,62
96,32,98,68,72,87,28,62
67,101,74,77,78,82,83,56
98,103,78,47,52,86,61,62
39,72,12,49,89,90,27,94
98,35,75,48,85,87,59,95
64,36,8,51,85,55,90,59
67,100,8,107,81,82,55,58
96,65,97,99,105,49,61,94
66,101,70,45,77,87,23,88
99,37,69,102,110,87,24,90
96,97,72,9,83,92,93,63
70,102,73,44,79,84,88,93
65,98,99,101,43,59,92,93
38,102,105,78,82,56,89,58
97,67,69,71,39,108,113,90
66,68,75,43,45,79,113,58
66,100,105,111,112,114,91,93
64,97,98,69,74,111,84,31
32,97,103,72,108,80,82,119
97,113,50,117,24,56,93,62
97,68,105,112,49,121,26,95
66,99,39,104,109,90,62,95
67,103,107,44,45,114,121,91
101,103,73,85,54,119,61,94
98,73,41,107,80,113,115,93
105,106,109,54,120,123,125,126
67,103,75,79,55,122,124,126
76,45,81,49,118,122,125,63
73,106,75,77,112,50,117,88
97,67,70,102,110,112,117,122
38,73,42,74,105,109,50,115
43,45,83,117,53,123,124,125
64,73,108,46,82,90,91,94
101,102,77,112,116,57,122,91
128,98,69,134,12,112,88,94
96,100,101,41,120,90,59,63
64,129,97,136,113,57,91,61
65,99,70,106,84,125,90,29
32,66,131,68,45,117,121,122
98,67,140,46,112,120,127,31
129,131,133,103,137,47,15,50
35,131,104,105,111,86,57,90
131,70,135,81,83,85,121,92
131,135,71,138,143,144,121,94
101,102,70,144,145,86,90,125
131,135,141,46,111,49,88,90
136,138,139,141,145,55,120,127
68,137,138,80,82,116,148,121
96,99,137,138,76,78,47,117
65,131,105,141,51,55,122,125
106,145,147,150,55,151,86,127
133,70,138,110,145,53,123,126
66,38,104,43,139,114,115,54
128,136,105,142,79,146,152,28
100,135,79,81,150,25,59,126
40,76,77,79,144,121,156,126
130,4,133,142,79,145,115,95
100,101,104,105,52,149,148,90
130,137,77,142,78,16,83,122
160,158,41,139,48,51,123,126
161,130,135,136,138,54,89,158
162,56,101,106,147,88,122,157
99,74,113,151,154,60,157,159
163,107,78,142,111,110,116,152
68,101,113,148,119,23,155,30
98,101,166,103,72,147,93,61
131,165,133,134,39,85,54,126
97,98,167,104,105,138,126,95
129,161,100,73,113,146,84,150
160,137,46,150,120,57,27,62
161,67,164,40,136,147,57,94
64,132,139,110,48,144,121,28
162,38,71,110,79,47,148,149
161,165,166,138,76,112,84,126
164,71,171,20,85,152,61,127
163,132,100,48,80,149,151,153
162,163,165,137,105,77,146,158
132,141,113,178,115,119,156,62
165,171,111,18,114,152,121,93
132,133,75,109,93,118,151,125
98,102,113,177,20,118,90,127
97,129,161,169,46,176,157,63
100,140,143,112,84,182,183,126
167,137,143,177,93,182,27,157
99,132,134,167,175,112,181,121
66,168,171,173,113,184,157,126
99,137,170,109,53,150,55,187
97,133,137,110,143,51,89,27
68,134,143,83,149,151,185,155
163,134,135,140,111,16,51,149
100,70,74,143,177,51,88,186
192,174,50,180,86,185,155,190
133,155,176,146,122,187,156,159
66,132,169,170,78,181,182,122
65,170,75,48,178,87,187,60
40,142,175,112,177,149,119,61
165,167,80,112,82,83,186,189
193,105,169,172,141,148,26,63
193,168,142,114,61,180,157,158
196,68,187,145,115,123,62,159
193,77,109,156,148,188,62,159
161,131,7,169,144,119,92,157
164,198,199,82,186,155,124,127
130,196,36,113,149,182,90,124
154,202,79,179,84,150,186,157
71,168,73,179,151,186,155,191
193,196,203,44,81,184,155,31
194,103,204,87,183,185,187,94
163,107,49,181,117,185,155,189
194,131,196,202,148,84,185,187
32,166,104,171,208,178,154,191
164,104,79,82,115,55,57,94
161,70,169,173,212,182,154,157
64,169,42,171,172,138,115,94
194,196,199,137,210,148,120,185
129,167,202,207,146,180,212,150
121,206,142,145,178,179,89,190
69,170,80,209,152,185,186,93
136,202,210,179,151,89,186,127
192,194,170,106,174,207,143,118
160,161,99,166,49,182,123,188
100,201,142,175,48,54,151,159
98,198,106,46,20,214,217,156
33,105,202,139,51,121,154,191
193,165,199,170,110,145,84,216
162,165,166,109,81,86,184,218
195,197,205,173,207,208,151,121
131,198,199,174,111,149,120,92
102,201,205,174,113,182,185,159
194,166,199,13,173,207,221,191
225,132,231,137,204,116,93,158
224,161,196,230,201,181,124,190
99,154,168,74,111,213,218,221
231,206,211,182,153,157,222,223
233,42,210,213,182,153,154,59
133,74,203,144,85,55,152,222
224,192,103,41,236,114,217,61
192,173,174,238,147,180,92,126
164,37,133,165,84,154,93,191
225,99,196,135,43,204,181,153
97,34,201,233,203,210,217,123
227,39,203,108,114,116,88,152
111,241,50,177,212,85,186,189
194,130,165,198,145,242,116,62
164,198,234,139,173,243,115,92
163,102,135,168,137,204,179,246
162,35,132,136,138,204,87,187
163,227,200,239,115,244,248,220
227,75,236,175,209,179,247,222
104,137,170,203,177,209,179,244
192,194,209,147,122,188,30,95
100,133,231,209,244,215,185,251
192,195,173,174,175,217,253,158
101,230,174,220,182,217,218,124
226,162,195,164,227,244,85,252
224,103,171,141,179,213,247,253
224,163,235,209,247,152,220,253
231,104,174,240,209,153,250,155
100,206,240,178,146,220,222,254
224,193,165,169,84,248,188,254
197,261,137,78,80,247,252,93
194,261,134,168,21,185,122,95
32,202,107,244,148,125,93,159
33,195,77,205,207,28,125,190
167,264,235,205,238,178,55,155
194,165,122,234,237,86,186,95
260,261,198,167,50,87,184,220
