23,12,20,17,14,9,25,31,15,18,30,26,13,0,21,3,27,10,2,11,4,5,22,28,16,1,7,19,24,8,29,6
21,18,17,8,32,26,13,4,1,22,28,0,23,11,27,9,10,14,12,31,29,16,24,2,5,7,19,30,15,6,20,25
11,32,28,14,21,29,0,25,17,15,3,12,20,26,5,7,9,18,22,31,30,4,6,10,23,19,24,2,16,8,27,1
5,10,6,2,4,19,23,9,11,0,34,7,29,14,22,20,18,1,3,28,33,32,15,17,8,12,13,25,31,30,21,24
27,16,5,7,29,24,3,12,33,22,21,0,18,28,20,10,13,25,23,31,26,4,15,17,34,1,6,19,11,30,32,8
29,18,15,6,5,31,22,16,3,19,28,9,13,14,35,12,7,4,17,20,21,8,11,2,24,32,0,27,26,34,10,33
34,6,19,0,16,27,9,35,2,33,21,14,17,22,25,26,32,11,24,4,12,31,5,28,36,30,23,3,37,29,10,20
1,4,16,0,7,31,32,35,38,11,34,26,28,10,21,27,17,6,8,15,30,23,29,25,18,12,33,19,24,5,13,14
2,35,4,26,5,38,28,22,19,34,14,23,33,36,20,39,29,12,16,7,3,37,17,10,27,30,6,25,24,1,21,9
5,7,34,26,19,8,10,16,15,37,12,0,39,18,24,40,28,17,36,33,27,25,4,3,14,22,6,32,1,29,23,38
40,25,22,21,3,20,39,1,11,34,14,27,41,36,26,12,28,5,4,24,33,7,23,0,2,9,16,10,32,15,19,30
26,29,41,31,30,34,20,14,24,35,7,32,18,3,5,13,21,4,1,37,0,12,9,2,10,36,42,19,11,27,40,17
38,29,14,26,27,0,32,1,28,25,43,31,36,40,7,39,15,5,9,11,42,13,22,23,35,34,4,33,2,18,24,21
14,42,37,30,9,3,4,38,15,39,27,8,41,32,21,36,20,16,5,7,6,1,23,24,26,19,25,33,44,17,0,13
37,2,38,16,42,21,43,25,8,26,15,44,13,14,29,3,22,0,11,45,35,40,41,6,32,31,4,10,30,12,9,23
8,40,10,16,30,21,24,22,11,44,20,38,27,43,34,4,0,37,33,9,13,25,14,35,46,39,15,29,31,5,6,45
45,47,30,46,20,27,1,39,43,22,3,9,32,31,16,21,7,19,5,12,35,24,6,42,25,17,23,34,10,8,4,36
21,27,10,46,8,35,31,3,33,22,36,45,20,32,34,42,47,4,41,39,5,12,11,23,0,44,40,30,9,26,28,37
36,42,46,29,25,44,33,7,34,48,40,5,32,0,17,49,22,19,27,43,2,10,38,11,26,30,24,16,3,35,20,9
