0,1,2,3,4,5,6,7
1,2,3,4,5,6,7,8
1,3,4,5,6,7,8,9
1,3,4,5,6,7,8,9
4,5,6,7,8,9,10,11
0,4,5,6,8,9,11,12
1,5,8,9,10,11,12,13
1,4,5,9,10,11,12,14
5,8,9,10,12,13,14,15
7,8,10,11,13,14,15,16
1,4,5,7,10,15,16,17
5,7,10,12,13,14,15,18
1,5,8,11,13,15,17,18
2,5,9,11,13,14,18,19
10,11,15,16,17,18,20,21
11,12,14,16,17,18,19,22
5,9,13,14,15,16,19,23
8,9,12,13,16,20,22,23
6,8,14,15,19,22,23,24
6,11,12,14,15,21,22,25
9,11,12,17,22,23,25,27
7,8,14,21,24,25,26,27
2,6,10,11,16,17,18,25
10,12,15,18,21,26,27,30
5,13,21,22,23,24,30,31
9,14,17,22,24,25,26,27
32,3,13,14,24,27,29,31
4,15,18,22,25,26,27,30
10,12,23,24,26,27,28,29
32,33,12,18,19,21,26,29
34,35,36,9,21,24,28,31
32,36,13,16,17,18,24,26
32,39,12,18,21,27,29,31
33,35,36,37,9,14,16,21
33,34,41,17,23,28,29,31
32,34,4,39,41,24,25,31
34,38,8,9,42,43,14,23
36,40,8,41,43,15,25,30
32,34,35,38,16,17,21,23
32,40,20,21,23,26,29,30
32,3,35,42,44,45,19,22
33,3,41,44,47,20,24,31
32,40,43,46,15,19,28,31
33,2,39,42,43,45,46,25
37,40,16,49,50,23,26,29
36,42,43,45,51,23,27,30
39,40,44,12,47,48,17,30
35,40,8,51,52,20,54,27
34,38,44,50,52,53,22,26
42,16,49,52,53,54,26,29
35,37,41,46,48,17,53,57
38,41,49,50,51,23,25,26
39,44,46,53,54,24,56,28
36,41,11,44,16,49,48,19
42,44,15,16,47,53,58,60
43,46,49,51,24,60,30,31
39,13,45,17,52,25,60,61
10,42,46,14,17,52,23,60
64,12,44,46,56,27,28,62
33,40,42,45,53,59,60,63
34,39,40,42,21,58,59,63
64,45,49,50,53,25,59,63
33,66,38,11,13,48,51,61
66,67,68,69,48,23,58,63
33,69,70,46,48,54,56,63
64,65,3,42,46,51,53,56
69,71,73,42,45,23,25,60
34,35,73,12,48,52,55,26
68,69,37,4,72,74,47,61
66,68,39,40,44,47,57,60
