16,12,21,24,28,7,30,11,3,0,31,8,23,6,15,27,19,17,1,20,2,9,5,18,22,26,4,10,13,25,14,29
29,30,31,32,13,21,1,2,4,18,8,28,5,23,3,6,24,25,19,16,9,12,20,7,10,11,27,17,26,14,22,15
2,1,8,15,31,3,24,16,29,21,17,12,30,18,10,7,19,33,14,0,27,20,11,26,28,25,23,13,4,9,5,32
8,33,18,21,30,31,14,12,0,27,32,24,10,11,29,25,16,9,4,1,28,20,6,7,3,23,34,19,5,2,17,22
25,3,23,2,15,34,4,29,16,9,5,33,24,8,31,18,35,7,26,11,27,14,22,6,28,32,13,21,17,19,10,12
0,24,26,21,14,10,23,19,15,5,12,28,6,30,11,20,27,17,4,25,35,3,13,8,34,9,29,32,31,2,16,33
31,24,22,32,28,5,2,25,34,26,15,27,37,3,21,4,1,18,7,23,20,0,14,33,11,30,16,8,35,13,36,6
7,4,33,9,21,35,37,27,0,34,29,8,17,14,2,18,12,36,22,6,31,13,10,1,25,24,19,3,15,32,11,26
39,35,1,0,33,16,12,31,21,24,9,36,25,20,30,19,2,29,15,22,11,28,34,6,17,7,26,4,32,18,8,27
10,34,35,21,33,36,28,0,27,31,22,38,1,9,18,8,37,26,40,17,19,13,15,4,24,6,2,11,14,12,39,16
38,40,17,35,11,8,6,33,13,28,37,9,16,5,2,30,29,10,21,23,31,36,41,18,32,7,12,4,22,25,0,1
37,14,30,17,4,13,6,35,0,23,38,12,9,5,27,22,33,3,15,24,34,41,2,16,31,18,19,1,42,32,25,26
16,20,1,43,42,32,18,19,34,39,40,14,37,21,23,17,38,26,41,29,2,4,6,10,27,11,15,30,25,36,22,13
39,7,25,18,13,41,38,3,5,19,14,12,22,33,42,0,34,4,29,21,10,2,11,36,16,30,37,44,27,24,8,6
0,43,12,35,33,23,1,11,5,8,41,27,38,10,25,17,14,37,29,45,9,44,15,19,21,32,13,7,16,4,3,24
0,2,9,14,33,32,8,16,25,23,42,29,17,39,45,30,41,37,35,10,11,28,5,4,3,21,24,22,13,15,18,1
39,22,34,19,12,44,42,24,46,14,16,38,4,33,5,0,35,20,40,7,6,43,11,37,13,30,28,21,17,41,1,15
7,23,20,39,30,6,21,3,28,27,36,16,4,11,29,37,38,24,0,32,42,45,17,25,19,18,44,48,35,22,40,34
23,47,41,24,46,38,36,19,20,18,25,32,31,27,17,22,3,49,33,37,28,12,0,30,10,16,44,6,26,11,9,1
