0,1,2,3,4,5,6,7
1,2,3,4,5,6,7,8
2,3,4,5,6,7,8,9
2,3,4,5,7,8,9,10
3,4,5,7,8,9,10,11
3,4,5,6,8,9,10,11
4,5,6,7,8,9,11,12
3,7,9,10,11,12,13,14
3,6,9,10,11,13,14,15
0,9,10,11,12,14,15,16
1,4,5,6,8,12,13,15
7,10,11,12,13,15,17,18
2,4,8,13,15,16,17,18
4,5,8,9,12,16,18,19
4,6,12,13,17,18,19,21
3,13,14,15,16,19,20,22
6,9,14,16,18,20,21,22
9,14,15,17,20,22,23,24
3,6,9,13,21,23,24,25
7,14,16,18,19,21,24,25
2,6,11,13,17,23,24,27
6,7,8,11,15,16,22,28
1,13,15,17,19,21,22,27
4,5,12,18,19,26,27,30
8,11,15,19,23,24,30,31
32,10,14,15,16,23,25,30
7,11,14,20,25,26,27,31
32,8,12,17,18,20,21,29
32,34,35,7,9,10,13,23
32,34,36,18,19,21,22,31
32,37,16,19,20,22,26,27
33,1,35,37,9,16,22,28
32,37,6,39,12,23,26,31
33,34,40,9,19,21,22,28
34,35,36,39,41,21,23,29
41,42,13,16,17,22,23,28
33,36,40,24,25,27,29,30
39,42,43,13,15,23,24,30
37,38,41,42,45,14,25,31
5,38,39,8,42,15,27,31
34,40,42,43,46,27,30,31
35,38,40,46,18,20,21,29
33,38,47,48,17,49,19,28
32,40,44,45,46,48,49,50
36,39,45,50,18,51,28,30
35,41,44,13,46,47,26,31
40,44,14,16,18,21,53,25
42,14,46,19,54,22,24,30
1,41,45,18,52,54,55,28
37,41,45,14,49,50,54,27
36,9,46,48,18,51,22,30
32,38,40,43,46,17,23,56
36,43,45,50,19,53,55,59
34,37,51,52,54,23,60,31
37,44,52,53,55,24,57,58
1,34,38,39,41,51,22,56
33,35,40,45,27,28,62,63
37,7,9,48,50,51,59,62
64,65,33,12,48,55,60,63
40,47,48,49,57,58,27,62
64,34,35,66,39,57,26,60
68,37,39,40,52,23,57,31
65,68,8,14,53,54,55,61
65,34,1,38,70,51,23,63
67,68,37,40,47,61,24,29
38,45,51,54,25,59,61,62
38,71,46,15,52,53,56,60
32,8,9,46,48,17,61,63
64,67,37,38,10,44,50,63
69,6,73,42,45,50,24,31
66,37,70,76,21,54,55,63
67,40,11,76,78,52,29,62
35,39,73,75,12,79,54,30
42,75,44,51,53,23,24,61
36,68,74,28,24,57,60,62
34,71,39,45,78,79,20,56
64,68,40,46,47,56,57,62
35,68,75,76,80,16,84,54
