"['-27', '0', '0']","['-27', '0', '0']","['-27', '0', '0']","['-27', '0', '0']","['-27', '0', '0']"
6.7437268e-06,5.7074492e-05,-7.2545804e-06,1.9996054e-05,3.415891e-05
"['-34', '140', '140']","['-27', '0', '0']","['-27', '0', '0']","['-27', '0', '0']","['-27', '0', '0']"
3.081437e-05,0.00026258247,-4.0507857e-05,9.1706956e-05,0.0001632626
"['-33', '140', '140']","['-34', '140', '140']","['-27', '0', '0']","['-27', '0', '0']","['-27', '0', '0']"
6.0684313e-05,0.0005104,-5.2154923e-05,0.00017933386,0.00029457858
"['-32', '140', '140']","['-33', '140', '140']","['-34', '140', '140']","['-27', '0', '0']","['-27', '0', '0']"
2.2260034e-05,0.00018466561,-8.614408e-06,6.529937e-05,9.779712e-05
"['-32', '140', '170']","['-32', '140', '140']","['-33', '140', '140']","['-34', '140', '140']","['-27', '0', '0']"
-5.202342e-05,-1.2658733e-05,1.7465698e-05,1.5900303e-05,3.2636628e-05
"['-29', '140', '170']","['-32', '140', '170']","['-32', '140', '140']","['-33', '140', '140']","['-34', '140', '140']"
-6.492136e-05,-1.5797159e-05,2.1795895e-05,1.9842397e-05,4.0728086e-05
"['-28', '140', '170']","['-29', '140', '170']","['-32', '140', '170']","['-32', '140', '140']","['-33', '140', '140']"
-7.809565e-05,-1.9002826e-05,2.6218866e-05,2.386895e-05,4.8992908e-05
"['-26', '200', '140']","['-28', '140', '170']","['-29', '140', '170']","['-32', '140', '170']","['-32', '140', '140']"
-6.712932e-05,-1.5473768e-05,2.2531683e-05,2.0863423e-05,4.2649845e-05
"['-24', '200', '140']","['-26', '200', '140']","['-28', '140', '170']","['-29', '140', '170']","['-32', '140', '170']"
-9.5560594e-05,-2.2027376e-05,3.2074535e-05,2.969971e-05,6.0713337e-05
"['-23', '200', '140']","['-24', '200', '140']","['-26', '200', '140']","['-28', '140', '170']","['-29', '140', '170']"
-8.986699e-05,-2.0714959e-05,3.0163495e-05,2.7930168e-05,5.709597e-05
"['-21', '200', '140']","['-23', '200', '140']","['-24', '200', '140']","['-26', '200', '140']","['-28', '140', '170']"
-0.00011938235,-2.9049019e-05,4.007995e-05,3.648771e-05,7.489391e-05
"['-22', '200', '140']","['-21', '200', '140']","['-23', '200', '140']","['-24', '200', '140']","['-26', '200', '140']"
-0.00011166084,-2.7170161e-05,3.7487625e-05,3.4127726e-05,7.004986e-05
"['-21', '200', '140']","['-22', '200', '140']","['-21', '200', '140']","['-23', '200', '140']","['-24', '200', '140']"
-0.00011155291,-2.71439e-05,3.7451395e-05,3.409474e-05,6.9982154e-05
